iter	RMSE
0	22.86041357
1	22.00338256
2	21.28814225
3	20.50716951
4	19.79773785
5	19.12266255
6	18.43842627
7	17.85426978
8	17.33560495
9	16.76045766
10	16.21625328
11	15.69485435
12	15.20222736
13	14.70039615
14	14.26025039
15	13.86832779
16	13.47270288
17	13.08527684
18	12.74279812
19	12.36579795
20	12.04411336
21	11.72123931
22	11.38403872
23	11.10277978
24	10.82882391
25	10.55028282
26	10.27570914
27	10.02215948
28	9.788642663
29	9.569094548
30	9.356099104
31	9.145706616
32	8.950102927
33	8.761672129
34	8.554048689
35	8.360443303
36	8.181103042
37	8.01160318
38	7.852948383
39	7.714451333
40	7.598624613
41	7.44538516
42	7.32106789
43	7.187120698
44	7.065512297
45	6.933273038
46	6.821682744
47	6.712295817
48	6.596358456
49	6.499328793
50	6.411200724
51	6.334380696
52	6.258554208
53	6.187869366
54	6.096578089
55	6.010333572
56	5.938290691
57	5.886518346
58	5.802788686
59	5.751935519
60	5.700061738
61	5.653001136
62	5.599437174
63	5.537177717
64	5.492389377
65	5.434067624
66	5.399480698
67	5.363208891
68	5.317310068
69	5.254359524
70	5.199811227
71	5.155323219
72	5.119150703
73	5.076522143
74	5.044261622
75	5.00064337
76	4.976021543
77	4.944288564
78	4.921142832
79	4.894139821
80	4.873322802
81	4.83877264
82	4.811387566
83	4.783541013
84	4.763319484
85	4.741655112
86	4.706321848
87	4.684443229
88	4.671089065
89	4.649288223
90	4.633830369
91	4.610210903
92	4.591671572
93	4.569519547
94	4.540469502
95	4.526555524
96	4.512165259
97	4.496720609
98	4.481817033
99	4.462854238
100	4.433598607
101	4.42260757
102	4.401964451
103	4.377737518
104	4.349088646
105	4.336028784
106	4.325618393
107	4.314109645
108	4.303211718
109	4.282622872
110	4.263626182
111	4.255235703
112	4.246810785
113	4.232979157
114	4.223257803
115	4.209889275
116	4.192529919
117	4.180970897
118	4.169447847
119	4.155013151
120	4.134808921
121	4.126057738
122	4.10763618
123	4.100204578
124	4.091170481
125	4.085498203
126	4.067724153
127	4.058865389
128	4.054579658
129	4.041097112
130	4.030087724
131	4.023281578
132	4.015578804
133	4.001685017
134	3.992432375
135	3.982764664
136	3.97652595
137	3.962832109
138	3.950875969
139	3.942172875
140	3.934523327
141	3.927984711
142	3.91791299
143	3.910411293
144	3.904659592
145	3.899418578
146	3.889757779
147	3.877445079
148	3.871862267
149	3.862735826
150	3.853190879
151	3.837587646
152	3.833410199
153	3.82495554
154	3.820620816
155	3.812813806
156	3.808413624
157	3.803660813
158	3.796751933
159	3.789105297
160	3.777545567
161	3.763783776
162	3.755883946
163	3.75120338
164	3.745159451
165	3.739046811
166	3.726336033
167	3.716178384
168	3.700087203
169	3.693851263
170	3.683175602
171	3.671873774
172	3.665939642
173	3.65782968
174	3.65178746
175	3.641579809
176	3.635708206
177	3.626096665
178	3.622009051
179	3.611165852
180	3.602871324
181	3.596666929
182	3.585018747
183	3.580715025
184	3.575346717
185	3.563824763
186	3.556387142
187	3.551091101
188	3.544084779
189	3.538945925
190	3.529616686
191	3.518509823
192	3.513293178
193	3.506741854
194	3.499358323
195	3.493314915
196	3.484459929
197	3.479747097
198	3.473828782
199	3.467209661
200	3.463321907
201	3.457251403
202	3.449277394
203	3.43960205
204	3.432241368
205	3.424787292
206	3.419715392
207	3.416602835
208	3.40851235
209	3.404475747
210	3.394237969
211	3.385101477
212	3.377573539
213	3.369859498
214	3.363589115
215	3.358162926
216	3.351575918
217	3.347440583
218	3.342914656
219	3.331704853
220	3.324195436
221	3.316735151
222	3.307334595
223	3.304027188
224	3.299815071
225	3.294198919
226	3.286805479
227	3.282211519
228	3.277549382
229	3.2706863
230	3.266668055
231	3.262671246
232	3.255226887
233	3.250776603
234	3.246723008
235	3.242384661
236	3.23855724
237	3.229954005
238	3.225299632
239	3.2207572
240	3.21682982
241	3.214695503
242	3.207614941
243	3.202281856
244	3.199068631
245	3.194479515
246	3.187794629
247	3.181796674
248	3.175054911
249	3.170149848
250	3.166087722
251	3.158972029
252	3.154093595
253	3.149852472
254	3.145200807
255	3.141863709
256	3.138333403
257	3.135294627
258	3.130794579
259	3.127334847
260	3.122751905
261	3.117822084
262	3.112080114
263	3.10895943
264	3.102321708
265	3.099169774
266	3.095014005
267	3.087982448
268	3.085055934
269	3.079972465
270	3.077333742
271	3.072118104
272	3.065179904
273	3.061659897
274	3.058353823
275	3.054209766
276	3.049042227
277	3.043569091
278	3.039522745
279	3.035983577
280	3.032525115
281	3.030251884
282	3.02716284
283	3.02356486
284	3.019154011
285	3.01638121
286	3.013340263
287	3.009897801
288	3.003102727
289	2.997559562
290	2.994407883
291	2.992668099
292	2.987753701
293	2.98141648
294	2.975545814
295	2.971165305
296	2.967404209
297	2.964279575
298	2.959468455
299	2.955053505
300	2.95277551
301	2.94689467
302	2.944029397
303	2.941393596
304	2.938567028
305	2.933799848
306	2.929975744
307	2.925582593
308	2.921902486
309	2.918468848
310	2.915131168
311	2.911978205
312	2.909139732
313	2.907239897
314	2.904065335
315	2.899886895
316	2.895224085
317	2.892077194
318	2.888350708
319	2.883334746
320	2.879712786
321	2.875564874
322	2.875201274
323	2.872159454
324	2.866609423
325	2.862746118
326	2.85927324
327	2.856777995
328	2.852190719
329	2.848670047
330	2.844681301
331	2.841022325
332	2.83690132
333	2.835000675
334	2.833410365
335	2.82892652
336	2.828583999
337	2.824234722
338	2.819508093
339	2.816454008
340	2.814721617
341	2.812418071
342	2.810775817
343	2.807968309
344	2.80519654
345	2.803090894
346	2.800658559
347	2.800254337
348	2.797662044
349	2.795474176
350	2.792071847
351	2.788438394
352	2.785582445
353	2.782974256
354	2.781014551
355	2.778240455
356	2.775757442
357	2.77390689
358	2.772377586
359	2.769391623
360	2.766338743
361	2.763382644
362	2.760135039
363	2.758012711
364	2.755264781
365	2.754968913
366	2.752832658
367	2.748983044
368	2.747590623
369	2.743325481
370	2.741707213
371	2.738975167
372	2.736770685
373	2.735387388
374	2.732601692
375	2.732340246
376	2.731039805
377	2.73078848
378	2.728238898
379	2.724510801
380	2.721990529
381	2.718850019
382	2.716799543
383	2.714189814
384	2.712193028
385	2.708569238
386	2.706200079
387	2.703220139
388	2.701216253
389	2.697556798
390	2.695731556
391	2.693000945
392	2.691286521
393	2.689218175
394	2.687540632
395	2.683983864
396	2.681636553
397	2.678785347
398	2.676700738
399	2.67429906
400	2.672912974
401	2.669369847
402	2.666675945
403	2.66363493
404	2.660358933
405	2.657454855
406	2.656258547
407	2.652958434
408	2.652623034
409	2.649852551
410	2.646996151
411	2.646755448
412	2.642421457
413	2.642167391
414	2.639901559
415	2.636255703
416	2.634018432
417	2.633048184
418	2.631920212
419	2.6298945
420	2.627340108
421	2.624084757
422	2.622231336
423	2.620122586
424	2.617437369
425	2.614708586
426	2.612843649
427	2.6113039
428	2.608905097
429	2.606519844
430	2.603983609
431	2.601348491
432	2.598223833
433	2.596178043
434	2.594414784
435	2.59296321
436	2.589501516
437	2.58697413
438	2.585614933
439	2.583694849
440	2.583000643
441	2.582046585
442	2.579759679
443	2.576650257
444	2.574343381
445	2.571409369
446	2.568211656
447	2.565486422
448	2.563293919
449	2.561497958
450	2.559705546
451	2.557778047
452	2.556138508
453	2.554222259
454	2.552588288
455	2.55103168
456	2.549109363
457	2.548547967
458	2.546714769
459	2.546040624
460	2.54419648
461	2.542151439
462	2.538395926
463	2.536936539
464	2.534873062
465	2.53376634
466	2.532076374
467	2.529803165
468	2.526852271
469	2.524545612
470	2.522203364
471	2.519278204
472	2.517635562
473	2.516243875
474	2.514675012
475	2.512136145
476	2.509613997
477	2.507057341
478	2.505080363
479	2.502855382
480	2.501262793
481	2.499816293
482	2.497607357
483	2.496016144
484	2.493272772
485	2.490895844
486	2.488058135
487	2.486712098
488	2.486050055
489	2.483861309
490	2.482857538
491	2.481409454
492	2.479780566
493	2.478011135
494	2.477132497
495	2.474924426
496	2.473301489
497	2.471489964
498	2.469295422
499	2.469093319
500	2.467530135
501	2.465666711
502	2.462862868
503	2.461698025
504	2.460205655
505	2.459469289
506	2.457002661
507	2.455774372
508	2.454226446
509	2.452324417
510	2.449838361
511	2.448249268
512	2.445454501
513	2.44283907
514	2.439893299
515	2.438363391
516	2.434637729
517	2.43221771
518	2.431781311
519	2.430415148
520	2.428707408
521	2.426898067
522	2.426011341
523	2.423757291
524	2.421572474
525	2.420141992
526	2.418127859
527	2.416088726
528	2.414399127
529	2.41258113
530	2.410548582
531	2.410014709
532	2.40834855
533	2.40580446
534	2.403423018
535	2.40172774
536	2.399912454
537	2.398103505
538	2.39723327
539	2.396220518
540	2.393912752
541	2.392472955
542	2.391122911
543	2.389040706
544	2.387684956
545	2.385974137
546	2.384283962
547	2.381005991
548	2.379551443
549	2.378225521
550	2.37580951
551	2.374108466
552	2.372154714
553	2.371840591
554	2.370297471
555	2.369355938
556	2.367993906
557	2.36653755
558	2.365216488
559	2.363803839
560	2.362178588
561	2.360527204
562	2.358168992
563	2.35704106
564	2.355550118
565	2.353923051
566	2.35304945
567	2.352094238
568	2.350640521
569	2.348437396
570	2.347383302
571	2.34516935
572	2.344112426
573	2.342206463
574	2.341022062
575	2.339757823
576	2.337865577
577	2.335680611
578	2.334436848
579	2.332520121
580	2.330858347
581	2.329110514
582	2.327513846
583	2.325426359
584	2.323875125
585	2.321862066
586	2.320660157
587	2.319879571
588	2.318300357
589	2.316837991
590	2.316202279
591	2.313646168
592	2.312403369
593	2.310410605
594	2.309230666
595	2.308036319
596	2.307060755
597	2.306408784
598	2.304561556
599	2.303823368
600	2.302277492
601	2.301017135
602	2.299543909
603	2.297770104
604	2.295619695
605	2.293797977
606	2.29151339
607	2.290406319
608	2.289615532
609	2.287509902
610	2.285359985
611	2.28372238
612	2.281658919
613	2.279979359
614	2.279466921
615	2.277950429
616	2.275976367
617	2.274600332
618	2.273274745
619	2.271584803
620	2.270424019
621	2.26787298
622	2.266097958
623	2.264861915
624	2.264452271
625	2.262654642
626	2.262098497
627	2.260772285
628	2.259705016
629	2.258959503
630	2.258276663
631	2.256172498
632	2.254827318
633	2.252874441
634	2.251351026
635	2.249869015
636	2.247679176
637	2.2459365
638	2.244683533
639	2.243128673
640	2.241697373
641	2.24093189
642	2.24034487
643	2.238407487
644	2.236630205
645	2.236028199
646	2.234188627
647	2.232711543
648	2.232002883
649	2.229958626
650	2.228773525
651	2.227128266
652	2.226532878
653	2.22528354
654	2.223679757
655	2.222325573
656	2.22067547
657	2.218893725
658	2.217760888
659	2.216401718
660	2.215454984
661	2.212805217
662	2.211162333
663	2.209914415
664	2.208492847
665	2.206704529
666	2.205148774
667	2.203781444
668	2.202996507
669	2.201827294
670	2.200158865
671	2.199054417
672	2.197976594
673	2.197629277
674	2.196147113
675	2.194610062
676	2.19272988
677	2.191691432
678	2.190170051
679	2.189129282
680	2.187715037
681	2.185893677
682	2.184577325
683	2.182928939
684	2.180659626
685	2.18028032
686	2.17902111
687	2.178239863
688	2.177329299
689	2.176629542
690	2.176192796
691	2.175047333
692	2.173663023
693	2.173479372
694	2.171688341
695	2.169681375
696	2.168013548
697	2.16707255
698	2.166465353
699	2.164810415
700	2.163180019
701	2.160650522
702	2.158468382
703	2.156849092
704	2.155774404
705	2.154310711
706	2.153258381
707	2.152732473
708	2.152138384
709	2.150613867
710	2.148714504
711	2.14761365
712	2.145887035
713	2.143835168
714	2.142872162
715	2.141705212
716	2.140746737
717	2.139817001
718	2.139156366
719	2.138405176
720	2.136934447
721	2.135826226
722	2.135534314
723	2.134111046
724	2.132742742
725	2.131667177
726	2.130015176
727	2.12840068
728	2.127035438
729	2.125503938
730	2.12363104
731	2.122693578
732	2.121689539
733	2.1203048
734	2.118992684
735	2.117744377
736	2.116476142
737	2.114660159
738	2.113898639
739	2.112449628
740	2.111092538
741	2.110200731
742	2.109070799
743	2.107740821
744	2.107078585
745	2.105228722
746	2.104832087
747	2.104013192
748	2.102404445
749	2.101157217
750	2.099735744
751	2.098480124
752	2.098174334
753	2.096506345
754	2.095169757
755	2.094166746
756	2.093448677
757	2.092886402
758	2.091776133
759	2.090409331
760	2.089404505
761	2.088386443
762	2.085968381
763	2.084411481
764	2.083552153
765	2.082392516
766	2.081018107
767	2.080032647
768	2.07893613
769	2.077584559
770	2.077117629
771	2.076122582
772	2.075116835
773	2.074300295
774	2.073768649
775	2.072660478
776	2.070926133
777	2.069727687
778	2.068934757
779	2.068010303
780	2.066763416
781	2.065685987
782	2.064402733
783	2.063726269
784	2.062437323
785	2.060937058
786	2.059448606
787	2.057594445
788	2.056539441
789	2.054717856
790	2.053637082
791	2.052207505
792	2.050968622
793	2.049695419
794	2.048980069
795	2.047792974
796	2.046871022
797	2.046418874
798	2.045348815
799	2.044268209
800	2.042663868
801	2.042279546
802	2.040941166
803	2.039982354
804	2.0385794
805	2.037174545
806	2.035995158
807	2.034512095
808	2.033841642
809	2.032969355
810	2.03258907
811	2.031224613
812	2.03008907
813	2.029375578
814	2.02766757
815	2.026600922
816	2.02511763
817	2.024405106
818	2.022766202
819	2.022105835
820	2.020716384
821	2.020186398
822	2.019118781
823	2.018063072
824	2.017340603
825	2.015555831
826	2.014726911
827	2.013984342
828	2.012913763
829	2.012195767
830	2.010968037
831	2.009546076
832	2.009090163
833	2.008965283
834	2.007448355
835	2.006955876
836	2.005496967
837	2.004457814
838	2.002880482
839	2.001650028
840	2.000228928
841	1.999394062
842	1.998173126
843	1.996714748
844	1.995962139
845	1.994794152
846	1.992916468
847	1.991861939
848	1.99080065
849	1.989397925
850	1.988005238
851	1.986425075
852	1.985626293
853	1.985076823
854	1.984294903
855	1.983539853
856	1.982305241
857	1.981040028
858	1.979745227
859	1.978914256
860	1.978324335
861	1.97719933
862	1.975547188
863	1.974167312
864	1.973762478
865	1.972968657
