iter	Passed	Remaining
0	5	5913
1	9	4728
2	12	4301
3	16	4117
4	23	4677
5	26	4460
6	30	4367
7	35	4341
8	38	4239
9	42	4200
10	45	4125
11	52	4304
12	56	4270
13	59	4198
14	63	4176
15	68	4226
16	72	4173
17	75	4130
18	78	4076
19	85	4185
20	89	4155
21	92	4109
22	96	4081
23	100	4080
24	103	4051
25	108	4049
26	112	4037
27	119	4141
28	124	4177
29	130	4204
30	133	4177
31	138	4201
32	144	4246
33	150	4266
34	154	4247
35	158	4239
36	164	4282
37	168	4273
38	173	4266
39	179	4306
40	184	4309
41	188	4306
42	194	4332
43	200	4364
44	205	4366
45	214	4455
46	220	4465
47	227	4504
48	233	4523
49	237	4508
50	243	4527
51	247	4516
52	251	4498
53	257	4512
54	261	4499
55	265	4481
56	269	4455
57	276	4485
58	279	4462
59	283	4443
60	287	4430
61	292	4419
62	296	4409
63	300	4398
64	307	4416
65	311	4414
66	315	4399
67	320	4393
68	325	4387
69	330	4390
70	334	4378
71	341	4402
72	345	4382
73	349	4371
74	355	4381
75	362	4403
76	367	4409
77	373	4412
78	377	4398
79	381	4385
80	387	4397
81	391	4384
82	395	4369
83	403	4405
84	408	4395
85	412	4386
86	419	4397
87	423	4384
88	427	4372
89	434	4394
90	439	4387
91	443	4374
92	450	4397
93	455	4386
94	459	4375
95	464	4376
96	468	4361
97	472	4351
98	476	4338
99	482	4343
100	487	4336
101	491	4326
102	496	4327
103	501	4318
104	505	4311
105	510	4308
106	515	4300
107	529	4371
108	532	4356
109	536	4343
110	540	4330
111	545	4325
112	549	4314
113	552	4297
114	556	4281
115	560	4273
116	564	4258
117	568	4247
118	572	4238
119	579	4250
120	586	4260
121	598	4304
122	603	4299
123	612	4328
124	617	4319
125	620	4305
126	626	4309
127	631	4300
128	635	4293
129	642	4298
130	646	4287
131	649	4273
132	653	4262
133	658	4255
134	662	4242
135	665	4230
136	669	4217
137	674	4212
138	678	4201
139	683	4197
140	688	4194
141	692	4182
142	695	4166
143	699	4155
144	703	4147
145	706	4133
146	709	4119
147	712	4104
148	715	4088
149	720	4082
150	723	4066
151	726	4054
152	729	4039
153	732	4025
154	736	4017
155	739	4002
156	742	3987
157	745	3973
158	748	3959
159	754	3960
160	757	3949
161	762	3942
162	767	3940
163	770	3928
164	775	3923
165	779	3915
166	785	3916
167	789	3907
168	792	3898
169	799	3903
170	804	3898
171	808	3889
172	810	3876
173	816	3874
174	819	3862
175	822	3850
176	825	3836
177	827	3823
178	832	3817
179	836	3810
180	840	3804
181	844	3795
182	849	3793
183	853	3785
184	858	3780
185	864	3782
186	867	3772
187	871	3766
188	879	3773
189	883	3766
190	888	3762
191	894	3764
192	898	3758
193	902	3748
194	905	3737
195	910	3735
196	915	3731
197	918	3721
198	922	3713
199	928	3714
200	932	3708
201	936	3701
202	942	3698
203	946	3691
204	949	3682
205	953	3674
206	957	3669
207	961	3660
208	965	3653
209	968	3645
210	975	3649
211	979	3641
212	983	3634
213	988	3631
214	992	3624
215	996	3618
216	1000	3611
217	1007	3612
218	1011	3606
219	1015	3600
220	1020	3597
221	1024	3591
222	1029	3585
223	1032	3577
224	1039	3580
225	1043	3574
226	1048	3569
227	1053	3565
228	1057	3561
229	1061	3553
230	1067	3552
231	1072	3551
232	1076	3543
233	1080	3535
234	1085	3534
235	1089	3525
236	1092	3517
237	1096	3510
238	1102	3511
239	1106	3503
240	1109	3495
241	1117	3499
242	1122	3496
243	1127	3494
244	1134	3494
245	1138	3488
246	1142	3482
247	1147	3478
248	1151	3472
249	1155	3466
250	1159	3459
251	1165	3458
252	1169	3452
253	1173	3446
254	1178	3442
255	1182	3435
256	1186	3430
257	1189	3422
258	1195	3419
259	1198	3411
260	1202	3404
261	1207	3399
262	1230	3448
263	1235	3444
264	1241	3443
265	1245	3437
266	1249	3430
267	1253	3423
268	1260	3425
269	1264	3419
270	1269	3413
271	1274	3411
272	1278	3404
273	1282	3398
274	1286	3391
275	1292	3390
276	1297	3385
277	1302	3382
278	1309	3385
279	1315	3383
280	1319	3377
281	1327	3379
282	1331	3372
283	1335	3367
