,batter,bowler,non_striker,runs_by_bat,extra_runs,total,delivery,extra_type,wicket_type,player_out,fielder,over,extras,review
0,WP Saha,DL Chahar,Shubman Gill,0,0,0,1,-,0.0,,,1,,
1,WP Saha,DL Chahar,Shubman Gill,0,0,0,2,-,0.0,,,1,,
2,WP Saha,DL Chahar,Shubman Gill,1,0,1,3,-,0.0,,,1,,
3,Shubman Gill,DL Chahar,WP Saha,1,0,1,4,-,0.0,,,1,,
4,WP Saha,DL Chahar,Shubman Gill,1,0,1,5,-,0.0,,,1,,
5,Shubman Gill,DL Chahar,WP Saha,1,0,1,6,-,0.0,,,1,,
6,Shubman Gill,TU Deshpande,WP Saha,0,0,0,1,-,0.0,,,2,,
7,Shubman Gill,TU Deshpande,WP Saha,1,0,1,2,-,0.0,,,2,,
8,WP Saha,TU Deshpande,Shubman Gill,1,0,1,3,-,0.0,,,2,,
9,Shubman Gill,TU Deshpande,WP Saha,1,0,1,4,-,0.0,,,2,,
10,WP Saha,TU Deshpande,Shubman Gill,0,0,0,5,-,0.0,,,2,,
11,WP Saha,TU Deshpande,Shubman Gill,1,0,1,6,-,0.0,,,2,,
12,WP Saha,DL Chahar,Shubman Gill,6,0,6,1,-,0.0,,,3,,
13,WP Saha,DL Chahar,Shubman Gill,0,0,0,2,-,0.0,,,3,,
14,WP Saha,DL Chahar,Shubman Gill,4,0,4,3,-,0.0,,,3,,
15,WP Saha,DL Chahar,Shubman Gill,4,0,4,4,-,0.0,,,3,,
16,WP Saha,DL Chahar,Shubman Gill,2,0,2,5,-,0.0,,,3,,
17,WP Saha,DL Chahar,Shubman Gill,0,0,0,6,-,0.0,,,3,,
18,Shubman Gill,TU Deshpande,WP Saha,4,0,4,1,-,0.0,,,4,,
19,Shubman Gill,TU Deshpande,WP Saha,4,0,4,2,-,0.0,,,4,,
20,Shubman Gill,TU Deshpande,WP Saha,4,0,4,3,-,0.0,,,4,,
21,Shubman Gill,TU Deshpande,WP Saha,1,0,1,4,-,0.0,,,4,,
22,WP Saha,TU Deshpande,Shubman Gill,1,0,1,5,-,0.0,,,4,,
23,Shubman Gill,TU Deshpande,WP Saha,0,0,0,6,-,0.0,,,4,,
24,WP Saha,DL Chahar,Shubman Gill,1,0,1,1,-,0.0,,,5,,
25,Shubman Gill,DL Chahar,WP Saha,2,0,2,2,-,0.0,,,5,,
26,Shubman Gill,DL Chahar,WP Saha,4,0,4,3,-,0.0,,,5,,
27,Shubman Gill,DL Chahar,WP Saha,1,0,1,4,-,0.0,,,5,,
28,WP Saha,DL Chahar,Shubman Gill,2,0,2,5,-,0.0,,,5,,
29,WP Saha,DL Chahar,Shubman Gill,1,0,1,6,-,0.0,,,5,,
30,WP Saha,M Theekshana,Shubman Gill,0,0,0,1,-,0.0,,,6,,
31,WP Saha,M Theekshana,Shubman Gill,1,0,1,2,-,0.0,,,6,,
32,Shubman Gill,M Theekshana,WP Saha,4,0,4,3,-,0.0,,,6,,
33,Shubman Gill,M Theekshana,WP Saha,4,0,4,4,-,0.0,,,6,,
34,Shubman Gill,M Theekshana,WP Saha,4,0,4,5,-,0.0,,,6,,
35,Shubman Gill,M Theekshana,WP Saha,0,0,0,6,-,0.0,,,6,,
36,WP Saha,RA Jadeja,Shubman Gill,1,0,1,1,-,0.0,,,7,,
37,Shubman Gill,RA Jadeja,WP Saha,2,0,2,2,-,0.0,,,7,,
38,Shubman Gill,RA Jadeja,WP Saha,1,0,1,3,-,0.0,,,7,,
39,WP Saha,RA Jadeja,Shubman Gill,0,0,0,4,-,0.0,,,7,,
40,WP Saha,RA Jadeja,Shubman Gill,1,0,1,5,-,0.0,,,7,,
41,Shubman Gill,RA Jadeja,WP Saha,0,0,0,6,-,0.0,,,7,,
42,WP Saha,M Theekshana,B Sai Sudharsan,1,0,1,1,-,0.0,,,8,,
43,B Sai Sudharsan,M Theekshana,WP Saha,1,0,1,2,-,0.0,,,8,,
44,WP Saha,M Theekshana,B Sai Sudharsan,1,0,1,3,-,0.0,,,8,,
45,B Sai Sudharsan,M Theekshana,WP Saha,0,0,0,4,-,0.0,,,8,,
46,B Sai Sudharsan,M Theekshana,WP Saha,1,0,1,5,-,0.0,,,8,,
47,WP Saha,M Theekshana,B Sai Sudharsan,1,0,1,6,-,0.0,,,8,,
48,WP Saha,RA Jadeja,B Sai Sudharsan,4,0,4,1,-,0.0,,,9,,
49,WP Saha,RA Jadeja,B Sai Sudharsan,1,0,1,2,-,0.0,,,9,,
50,B Sai Sudharsan,RA Jadeja,WP Saha,1,0,1,3,-,0.0,,,9,,
51,WP Saha,RA Jadeja,B Sai Sudharsan,1,0,1,4,-,0.0,,,9,,
52,B Sai Sudharsan,RA Jadeja,WP Saha,0,0,0,5,-,0.0,,,9,,
53,B Sai Sudharsan,RA Jadeja,WP Saha,1,0,1,6,-,0.0,,,9,,
54,B Sai Sudharsan,M Theekshana,WP Saha,1,0,1,1,-,0.0,,,10,,
55,WP Saha,M Theekshana,B Sai Sudharsan,1,0,1,2,-,0.0,,,10,,
56,B Sai Sudharsan,M Theekshana,WP Saha,0,0,0,3,-,0.0,,,10,,
57,B Sai Sudharsan,M Theekshana,WP Saha,1,0,1,4,-,0.0,,,10,,
58,WP Saha,M Theekshana,B Sai Sudharsan,2,0,2,5,-,0.0,,,10,,
59,WP Saha,M Theekshana,B Sai Sudharsan,1,0,1,6,-,0.0,,,10,,
60,WP Saha,RA Jadeja,B Sai Sudharsan,4,0,4,1,-,0.0,,,11,,
61,WP Saha,RA Jadeja,B Sai Sudharsan,1,0,1,2,-,0.0,,,11,,
62,B Sai Sudharsan,RA Jadeja,WP Saha,2,0,2,3,-,0.0,,,11,,
63,B Sai Sudharsan,RA Jadeja,WP Saha,1,0,1,4,-,0.0,,,11,,
64,WP Saha,RA Jadeja,B Sai Sudharsan,1,0,1,5,-,0.0,,,11,,
65,B Sai Sudharsan,RA Jadeja,WP Saha,1,0,1,6,-,0.0,,,11,,
66,B Sai Sudharsan,M Pathirana,WP Saha,4,0,4,1,-,0.0,,,12,,
67,B Sai Sudharsan,M Pathirana,WP Saha,0,1,1,2,-,0.0,,,12,{'wides': 1},
68,B Sai Sudharsan,M Pathirana,WP Saha,4,0,4,3,-,0.0,,,12,,
69,B Sai Sudharsan,M Pathirana,WP Saha,1,0,1,4,-,0.0,,,12,,
70,WP Saha,M Pathirana,B Sai Sudharsan,0,1,1,5,-,0.0,,,12,{'wides': 1},
