venue,Total_Runs,Total_Extras,Total_Wickets,Venue_Matches_Played,fours,sixes,Total_Balls,Venue_dream11,Venue_Avg_Batsmen_Strike_Rate,Venue_Avg_Batsmen_Average,Venue_Avg_Bowler_Economy,Avg_Bowler_strike_rate,Venue_Avg_Bowler_Average
Arun Jaitley Stadium,25507,1316,990,85,2364.0,999.0,20017,309.8705882352941,127.42668731578159,25.764646464646464,7.645601238946895,20.219191919191918,25.764646464646464
Barabati Stadium,2195,83,80,7,215.0,68.0,1695,324.57142857142856,129.4985250737463,27.4375,7.769911504424779,21.1875,27.4375
Barsapara Cricket Stadium,694,36,25,2,70.0,24.0,504,375.0,137.6984126984127,27.76,8.261904761904763,20.16,27.76
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1774,101,92,7,129.0,70.0,1583,236.71428571428572,112.065698041693,19.282608695652176,6.723941882501579,17.206521739130434,19.282608695652176
Brabourne Stadium,8760,545,331,27,875.0,333.0,6526,341.962962962963,134.23230156297885,26.46525679758308,8.053938093778731,19.716012084592144,26.46525679758308
Buffalo Park,742,57,38,3,56.0,27.0,715,230.66666666666666,103.77622377622377,19.526315789473685,6.2265734265734265,18.81578947368421,19.526315789473685
De Beers Diamond Oval,858,39,39,3,62.0,34.0,726,260.6666666666667,118.18181818181819,22.0,7.090909090909091,18.615384615384617,22.0
Dr DY Patil Sports Academy,10689,694,470,37,912.0,458.0,8898,287.43243243243245,120.1281186783547,22.74255319148936,7.207687120701281,18.931914893617023,22.74255319148936
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,3585,161,163,13,291.0,154.0,3037,265.6923076923077,118.04412248929866,21.993865030674847,7.082647349357919,18.631901840490798,21.993865030674847
Dubai International Cricket Stadium,13753,697,545,46,1189.0,495.0,11229,303.8695652173913,122.47751358090657,25.2348623853211,7.348650814854395,20.603669724770644,25.2348623853211
Eden Gardens,25593,1396,983,86,2457.0,1029.0,20177,309.16279069767444,126.84244436734897,26.03560528992879,7.610546662040938,20.52594099694812,26.03560528992879
Green Park,1236,62,49,4,151.0,36.0,921,327.75,134.20195439739413,25.224489795918366,8.052117263843648,18.79591836734694,25.224489795918366
Himachal Pradesh Cricket Association Stadium,3477,207,125,11,369.0,150.0,2660,344.3636363636364,130.71428571428572,27.816,7.8428571428571425,21.28,27.816
Holkar Cricket Stadium,2735,137,92,9,222.0,155.0,1965,335.0,139.18575063613233,29.72826086956522,8.351145038167939,21.358695652173914,29.72826086956522
JSCA International Stadium Complex,1956,100,81,7,154.0,76.0,1671,275.42857142857144,117.05565529622982,24.14814814814815,7.023339317773788,20.62962962962963,24.14814814814815
Kingsmead,4076,277,201,15,361.0,130.0,3643,256.06666666666666,111.8858083996706,20.27860696517413,6.713148503980236,18.124378109452735,20.27860696517413
M Chinnaswamy Stadium,26578,1494,1008,87,2367.0,1251.0,20131,325.48275862068965,132.02523471263225,26.36706349206349,7.921514082757936,19.971230158730158,26.36706349206349
MA Chidambaram Stadium,22563,1246,918,76,1926.0,812.0,18561,297.0921052631579,121.56133828996283,24.57843137254902,7.29368029739777,20.218954248366014,24.57843137254902
Maharashtra Cricket Association Stadium,10600,515,434,35,875.0,464.0,8414,313.74285714285713,125.98050867601616,24.42396313364055,7.55883052056097,19.387096774193548,24.42396313364055
Narendra Modi Stadium,8782,393,337,28,724.0,382.0,6723,326.92857142857144,130.62620853785512,26.059347181008903,7.837572512271308,19.949554896142434,26.059347181008903
Nehru Stadium,1286,77,62,5,123.0,39.0,1155,245.8,111.34199134199135,20.741935483870968,6.6805194805194805,18.629032258064516,20.741935483870968
New Wanderers Stadium,2184,108,92,8,185.0,64.0,1940,260.625,112.57731958762886,23.73913043478261,6.754639175257732,21.08695652173913,23.73913043478261
Newlands,1684,113,93,7,146.0,63.0,1539,222.57142857142858,109.42170240415854,18.107526881720432,6.565302144249513,16.548387096774192,18.107526881720432
OUTsurance Oval,488,41,25,2,42.0,8.0,500,209.0,97.6,19.52,5.856,20.0,19.52
Punjab Cricket Association Stadium,18929,935,690,61,1840.0,602.0,14476,323.72131147540983,130.76126001657917,27.433333333333334,7.84567560099475,20.979710144927537,27.433333333333334
Rajiv Gandhi International Stadium,20875,994,842,71,1894.0,741.0,16923,297.22535211267603,123.3528334219701,24.792161520190025,7.401170005318206,20.098574821852733,24.792161520190025
Saurashtra Cricket Association Stadium,3198,135,109,10,306.0,104.0,2381,342.0,134.31331373372532,29.339449541284402,8.058798824023519,21.844036697247706,29.339449541284402
Sawai Mansingh Stadium,14975,857,576,52,1482.0,426.0,12277,289.13461538461536,121.97605278162418,25.99826388888889,7.318563166897451,21.31423611111111,25.99826388888889
Shaheed Veer Narayan Singh International Stadium,1664,77,60,6,161.0,44.0,1431,270.1666666666667,116.28232005590495,27.733333333333334,6.976939203354298,23.85,27.733333333333334
Sharjah Cricket Stadium,8159,424,322,28,593.0,394.0,6672,295.5,122.28717026378897,25.338509316770185,7.337230215827338,20.720496894409937,25.338509316770185
Sheikh Zayed Stadium,8467,390,329,29,782.0,255.0,6925,294.3103448275862,122.26714801444044,25.735562310030396,7.336028880866426,21.048632218844986,25.735562310030396
St George's Park,1904,129,77,7,151.0,62.0,1677,263.85714285714283,113.53607632677401,24.727272727272727,6.81216457960644,21.77922077922078,24.727272727272727
Subrata Roy Sahara Stadium,4296,232,183,16,362.0,138.0,3825,251.625,112.31372549019608,23.475409836065573,6.738823529411765,20.901639344262296,23.475409836065573
SuperSport Park,3440,213,133,12,318.0,120.0,2866,291.1666666666667,120.02791346824844,25.86466165413534,7.201674808094906,21.548872180451127,25.86466165413534
Vidarbha Cricket Association Stadium,822,60,48,3,66.0,26.0,742,240.66666666666666,110.78167115902966,17.125,6.646900269541779,15.458333333333334,17.125
Wankhede Stadium,34511,1934,1332,111,3227.0,1484.0,26818,325.60360360360363,128.68595719293012,25.90915915915916,7.721157431575807,20.133633633633632,25.90915915915916
Zayed Cricket Stadium,2372,103,93,8,228.0,73.0,1874,294.25,126.57417289220918,25.50537634408602,7.594450373532551,20.150537634408604,25.50537634408602
