striker,Total_Runs,total_dismissals,balls_faced,Avg_balls_faced,Matches_Played,Strike_Rate,avg_drm11_score,Average
A Ashish Reddy,280,23,196,8.521739130434783,23,135.39039462952505,10.347826086956522,12.173913043478262
A Badoni,399,23,325,14.130434782608695,23,114.00905141834676,16.652173913043477,17.347826086956523
A Chandila,4,2,7,3.5,2,33.33333333333333,-2.0,2.0
A Chopra,53,6,75,12.5,6,59.148148148148145,4.0,8.833333333333334
A Choudhary,25,3,20,6.666666666666667,3,163.88888888888889,5.333333333333333,8.333333333333334
A Dananjaya,4,1,5,5.0,1,80.0,-2.0,4.0
A Flintoff,62,3,57,19.0,3,114.01058201058201,17.666666666666668,20.666666666666668
A Kumble,35,15,49,3.2666666666666666,15,79.19047619047619,-2.8,2.3333333333333335
A Manohar,222,13,165,12.692307692307692,13,114.86412938667581,17.23076923076923,17.076923076923077
A Mishra,381,55,440,8.0,55,85.97639436040083,3.1636363636363636,6.927272727272728
A Mithun,34,6,26,4.333333333333333,6,117.55952380952381,2.3333333333333335,5.666666666666667
A Mukund,19,2,23,11.5,2,43.18181818181818,6.0,9.5
A Nehra,41,17,63,3.7058823529411766,17,37.05882352941177,-1.6470588235294117,2.411764705882353
A Nortje,45,11,42,3.8181818181818183,11,107.14285714285712,0.45454545454545453,4.090909090909091
A Singh,2,5,10,2.0,5,20.0,-3.2,0.4
A Symonds,974,36,781,21.694444444444443,36,112.45932604931554,29.38888888888889,27.055555555555557
A Tomar,4,1,8,8.0,1,50.0,-1.0,4.0
A Uniyal,4,2,7,3.5,2,33.33333333333333,-2.0,2.0
A Zampa,15,5,25,5.0,5,54.95238095238095,-2.0,3.0
AA Bilakhia,69,7,88,12.571428571428571,7,79.5578231292517,5.428571428571429,9.857142857142858
AA Chavan,12,3,11,3.6666666666666665,3,116.66666666666667,0.6666666666666666,4.0
AA Jhunjhunwala,217,15,218,14.533333333333333,15,95.92106688845818,12.533333333333333,14.466666666666667
AA Noffke,9,1,12,12.0,1,75.0,4.0,9.0
AB Agarkar,179,18,160,8.88888888888889,18,117.21651004443432,6.444444444444445,9.944444444444445
AB Barath,42,3,43,14.333333333333334,3,75.95238095238095,11.666666666666666,14.0
AB Dinda,26,16,50,3.125,16,47.552083333333336,-2.75,1.625
AB McDonald,123,9,103,11.444444444444445,9,105.87895147883829,10.88888888888889,13.666666666666666
AB de Villiers,5181,170,3487,20.511764705882353,170,129.9967936465417,35.54705882352941,30.476470588235294
AC Blizzard,120,7,91,13.0,7,97.05163883735312,18.428571428571427,17.142857142857142
AC Gilchrist,2069,80,1555,19.4375,80,114.2540125927837,29.475,25.8625
AC Thomas,20,4,19,4.75,4,75.0,0.75,5.0
AC Voges,181,7,143,20.428571428571427,7,124.41048455533198,24.857142857142858,25.857142857142858
AD Hales,148,6,119,19.833333333333332,6,112.06641737891738,24.833333333333332,24.666666666666668
AD Mascarenhas,79,11,79,7.181818181818182,11,91.94805194805195,3.090909090909091,7.181818181818182
AD Mathews,724,41,599,14.609756097560975,41,113.46590770007124,15.75609756097561,17.658536585365855
AD Nath,90,10,99,9.9,10,74.7428821178821,4.5,9.0
AD Russell,2266,95,1374,14.463157894736842,95,139.53564876535424,28.178947368421053,23.852631578947367
AF Milne,23,6,31,5.166666666666667,6,52.90032679738562,-0.5,3.8333333333333335
AG Murtaza,10,3,14,4.666666666666667,3,75.0,-2.3333333333333335,3.3333333333333335
AG Paunikar,49,5,61,12.2,5,63.55263157894736,6.4,9.8
AJ Finch,2092,90,1696,18.844444444444445,90,108.36361930749814,25.0,23.244444444444444
AJ Hosein,16,1,11,11.0,1,145.45454545454547,13.0,16.0
AJ Turner,3,4,11,2.75,4,10.714285714285712,-2.25,0.75
AJ Tye,91,13,79,6.076923076923077,13,92.34515484515485,4.538461538461538,7.0
AK Markram,775,31,600,19.35483870967742,31,121.25165215238455,26.193548387096776,25.0
AL Menaria,401,23,367,15.956521739130435,23,94.10145247235292,15.08695652173913,17.434782608695652
AM Nayar,672,50,588,11.76,50,94.97561135115315,10.62,13.44
AM Rahane,4400,159,3658,23.0062893081761,159,102.36150089325052,29.830188679245282,27.67295597484277
AN Ahmed,36,6,27,4.5,6,189.74358974358975,4.0,6.0
AN Ghosh,7,2,8,4.0,2,50.0,0.0,3.5
AP Dole,34,2,23,11.5,2,128.94736842105263,15.5,17.0
AP Majumdar,87,4,77,19.25,4,113.64688552188551,20.5,21.75
AP Tare,339,27,285,10.555555555555555,27,115.52933902105441,11.518518518518519,12.555555555555555
AR Bawne,12,1,12,12.0,1,100.0,7.0,12.0
AR Patel,1418,100,1135,11.35,100,121.66656537851156,12.72,14.18
AS Joseph,27,5,32,6.4,5,70.74358974358974,0.8,5.4
AS Rajpoot,26,7,41,5.857142857142857,7,61.33786848072562,-1.7142857142857142,3.7142857142857144
AS Raut,194,16,172,10.75,16,90.06027424905302,8.5625,12.125
AS Roy,23,5,21,4.2,5,73.14285714285714,2.0,4.6
AS Yadav,49,6,40,6.666666666666667,6,101.07142857142857,5.333333333333333,8.166666666666666
AT Carey,32,3,29,9.666666666666666,3,106.7969067969068,5.333333333333333,10.666666666666666
AT Rayudu,4348,185,3490,18.864864864864863,185,111.31767840516918,24.783783783783782,23.502702702702702
AU Rashid,22,2,17,8.5,2,130.95238095238096,7.0,11.0
