striker,bowling_team,Total_Runs,Fours,Sixes,numberOfDismissals,Balls_Faced,opposition_wise_Matches_Played,opposition_wise_dr11,opposition_wiseStrike_Rate,opposition_wiseAverage
A Ashish Reddy,Chennai Super Kings,45,3.0,3.0,3,25,3,15.333333333333334,180.0,15.0
A Ashish Reddy,Delhi Daredevils,36,4.0,1.0,3,24,3,12.0,150.0,12.0
A Ashish Reddy,Kings XI Punjab,37,3.0,2.0,3,23,3,10.666666666666666,160.8695652173913,12.333333333333334
A Ashish Reddy,Kolkata Knight Riders,17,0.0,1.0,2,14,2,3.5,121.42857142857142,8.5
A Ashish Reddy,Mumbai Indians,27,0.0,2.0,2,25,2,9.5,108.0,13.5
A Ashish Reddy,Pune Warriors,26,1.0,1.0,2,19,2,11.5,136.8421052631579,13.0
A Ashish Reddy,Rajasthan Royals,37,3.0,1.0,3,24,3,10.0,154.16666666666669,12.333333333333334
A Ashish Reddy,Royal Challengers Bangalore,55,2.0,4.0,5,42,5,9.0,130.95238095238096,11.0
A Badoni,Chennai Super Kings,101,2.0,6.0,3,68,3,36.333333333333336,148.52941176470588,33.666666666666664
A Badoni,Delhi Capitals,28,2.0,3.0,2,12,2,18.0,233.33333333333334,14.0
A Badoni,Gujarat Titans,91,6.0,5.0,4,72,4,25.25,126.38888888888889,22.75
A Badoni,Kolkata Knight Riders,40,2.0,1.0,2,41,2,16.0,97.5609756097561,20.0
A Badoni,Mumbai Indians,15,0.0,1.0,2,18,2,2.5,83.33333333333334,7.5
A Badoni,Punjab Kings,52,3.0,3.0,3,36,3,17.666666666666668,144.44444444444443,17.333333333333332
A Badoni,Rajasthan Royals,6,0.0,0.0,3,12,3,-2.6666666666666665,50.0,2.0
A Badoni,Royal Challengers Bangalore,47,6.0,0.0,3,53,3,13.0,88.67924528301887,15.666666666666666
A Badoni,Sunrisers Hyderabad,19,3.0,0.0,1,13,1,16.0,146.15384615384613,19.0
A Chandila,Deccan Chargers,0,0.0,0.0,1,1,1,-2.0,0.0,0.0
A Chandila,Royal Challengers Bangalore,4,0.0,0.0,1,6,1,-2.0,66.66666666666666,4.0
A Chopra,Deccan Chargers,35,5.0,0.0,2,45,2,14.0,77.77777777777779,17.5
A Chopra,Delhi Daredevils,13,2.0,0.0,1,18,1,9.0,72.22222222222221,13.0
A Chopra,Kings XI Punjab,2,0.0,0.0,1,3,1,-4.0,66.66666666666666,2.0
A Chopra,Mumbai Indians,1,0.0,0.0,1,4,1,-5.0,25.0,1.0
A Chopra,Royal Challengers Bangalore,2,0.0,0.0,1,5,1,-4.0,40.0,2.0
A Choudhary,Gujarat Lions,15,1.0,0.0,1,12,1,10.0,125.0,15.0
A Choudhary,Kings XI Punjab,4,0.0,0.0,1,6,1,-2.0,66.66666666666666,4.0
A Choudhary,Sunrisers Hyderabad,6,0.0,1.0,1,2,1,8.0,300.0,6.0
A Dananjaya,Delhi Daredevils,4,0.0,0.0,1,5,1,-2.0,80.0,4.0
A Flintoff,Delhi Daredevils,16,1.0,0.0,1,18,1,11.0,88.88888888888889,16.0
A Flintoff,Mumbai Indians,24,2.0,1.0,1,25,1,22.0,96.0,24.0
A Flintoff,Royal Challengers Bangalore,22,2.0,1.0,1,14,1,20.0,157.14285714285714,22.0
A Kumble,Chennai Super Kings,3,0.0,0.0,2,6,2,-1.5,50.0,1.5
A Kumble,Deccan Chargers,4,0.0,0.0,3,6,3,-4.666666666666667,66.66666666666666,1.3333333333333333
A Kumble,Delhi Daredevils,2,0.0,0.0,2,2,2,-5.0,100.0,1.0
A Kumble,Kings XI Punjab,9,1.0,0.0,4,15,4,-2.5,60.0,2.25
A Kumble,Mumbai Indians,9,1.0,0.0,3,12,3,-2.6666666666666665,75.0,3.0
A Kumble,Rajasthan Royals,8,1.0,0.0,1,8,1,3.0,100.0,8.0
A Manohar,Chennai Super Kings,12,2.0,0.0,1,12,1,8.0,100.0,12.0
A Manohar,Delhi Capitals,27,0.0,1.0,2,38,2,8.5,71.05263157894737,13.5
A Manohar,Kolkata Knight Riders,16,3.0,0.0,2,13,2,6.5,123.07692307692308,8.0
A Manohar,Lucknow Super Giants,18,3.0,0.0,2,12,2,7.5,150.0,9.0
A Manohar,Mumbai Indians,44,3.0,3.0,2,24,2,25.5,183.33333333333331,22.0
A Manohar,Rajasthan Royals,70,4.0,5.0,2,42,2,41.0,166.66666666666669,35.0
A Manohar,Sunrisers Hyderabad,35,5.0,1.0,2,24,2,19.0,145.83333333333331,17.5
A Mishra,Chennai Super Kings,58,6.0,1.0,8,64,8,3.75,90.625,7.25
A Mishra,Deccan Chargers,6,0.0,0.0,4,15,4,-2.5,40.0,1.5
A Mishra,Delhi Daredevils,22,2.0,0.0,2,21,2,6.0,104.76190476190477,11.0
A Mishra,Gujarat Lions,8,2.0,0.0,1,2,1,10.0,400.0,8.0
A Mishra,Kings XI Punjab,27,1.0,0.0,6,36,6,-0.6666666666666666,75.0,4.5
A Mishra,Kochi Tuskers Kerala,0,0.0,0.0,1,1,1,-2.0,0.0,0.0
A Mishra,Kolkata Knight Riders,62,4.0,1.0,8,66,8,3.75,93.93939393939394,7.75
A Mishra,Mumbai Indians,88,9.0,1.0,10,89,10,5.5,98.87640449438202,8.8
A Mishra,Pune Warriors,30,3.0,0.0,2,27,2,14.5,111.11111111111111,15.0
A Mishra,Rajasthan Royals,30,2.0,0.0,7,54,7,-0.2857142857142857,55.55555555555556,4.285714285714286
A Mishra,Rising Pune Supergiant,13,0.0,1.0,1,10,1,9.0,130.0,13.0
A Mishra,Royal Challengers Bangalore,36,2.0,1.0,4,52,4,5.5,69.23076923076923,9.0
A Mishra,Sunrisers Hyderabad,1,0.0,0.0,1,3,1,-5.0,33.33333333333333,1.0
A Mithun,Chennai Super Kings,11,2.0,0.0,1,8,1,7.0,137.5,11.0
A Mithun,Delhi Daredevils,5,1.0,0.0,2,6,2,-1.0,83.33333333333334,2.5
A Mithun,Kings XI Punjab,16,1.0,1.0,2,10,2,6.5,160.0,8.0
A Mithun,Kolkata Knight Riders,2,0.0,0.0,1,2,1,-4.0,100.0,2.0
A Mukund,Rajasthan Royals,19,1.0,0.0,2,23,2,6.0,82.6086956521739,9.5
A Nehra,Chennai Super Kings,1,0.0,0.0,2,3,2,-3.5,33.33333333333333,0.5
A Nehra,Deccan Chargers,22,2.0,1.0,1,16,1,20.0,137.5,22.0
A Nehra,Delhi Daredevils,1,0.0,0.0,1,1,1,-5.0,100.0,1.0
A Nehra,Kings XI Punjab,6,0.0,0.0,5,21,5,-4.0,28.57142857142857,1.2
A Nehra,Kolkata Knight Riders,1,0.0,0.0,2,5,2,-3.5,20.0,0.5
A Nehra,Mumbai Indians,1,0.0,0.0,2,6,2,-3.5,16.666666666666664,0.5
A Nehra,Rajasthan Royals,9,1.0,0.0,1,8,1,4.0,112.5,9.0
A Nehra,Royal Challengers Bangalore,0,0.0,0.0,2,2,2,-2.0,0.0,0.0
A Nehra,Sunrisers Hyderabad,0,0.0,0.0,1,1,1,-2.0,0.0,0.0
A Nortje,Chennai Super Kings,1,0.0,0.0,2,8,2,-3.5,12.5,0.5
A Nortje,Gujarat Titans,7,1.0,0.0,2,8,2,1.0,87.5,3.5
A Nortje,Kings XI Punjab,3,0.0,0.0,1,1,1,3.0,300.0,3.0
A Nortje,Mumbai Indians,5,1.0,0.0,1,3,1,0.0,166.66666666666669,5.0
A Nortje,Rajasthan Royals,0,0.0,0.0,1,1,1,-2.0,0.0,0.0
A Nortje,Royal Challengers Bangalore,23,4.0,0.0,1,14,1,21.0,164.28571428571428,23.0
A Nortje,Sunrisers Hyderabad,6,0.0,0.0,3,7,3,-4.0,85.71428571428571,2.0
A Singh,Chennai Super Kings,1,0.0,0.0,1,2,1,-5.0,50.0,1.0
A Singh,Delhi Daredevils,0,0.0,0.0,1,1,1,-2.0,0.0,0.0
A Singh,Kolkata Knight Riders,1,0.0,0.0,2,4,2,-3.5,25.0,0.5
A Singh,Mumbai Indians,0,0.0,0.0,1,3,1,-2.0,0.0,0.0
A Symonds,Chennai Super Kings,131,8.0,7.0,4,123,4,36.25,106.5040650406504,32.75
A Symonds,Deccan Chargers,52,4.0,1.0,2,52,2,25.0,100.0,26.0
A Symonds,Delhi Daredevils,170,13.0,10.0,6,109,6,33.166666666666664,155.96330275229357,28.333333333333332
A Symonds,Kings XI Punjab,154,7.0,7.0,6,121,6,27.166666666666668,127.27272727272727,25.666666666666668
A Symonds,Kolkata Knight Riders,100,7.0,3.0,4,102,4,24.25,98.0392156862745,25.0
A Symonds,Mumbai Indians,22,2.0,0.0,2,26,2,6.0,84.61538461538461,11.0
A Symonds,Pune Warriors,19,2.0,0.0,2,18,2,4.5,105.55555555555556,9.5
A Symonds,Rajasthan Royals,201,19.0,8.0,5,138,5,48.8,145.65217391304347,40.2
A Symonds,Royal Challengers Bangalore,125,12.0,5.0,5,92,5,27.8,135.8695652173913,25.0
A Tomar,Lucknow Super Giants,4,1.0,0.0,1,8,1,-1.0,50.0,4.0
A Uniyal,Delhi Daredevils,4,0.0,0.0,1,6,1,-2.0,66.66666666666666,4.0
A Uniyal,Mumbai Indians,0,0.0,0.0,1,1,1,-2.0,0.0,0.0
A Zampa,Chennai Super Kings,1,0.0,0.0,1,1,1,-5.0,100.0,1.0
A Zampa,Delhi Daredevils,5,1.0,0.0,1,7,1,0.0,71.42857142857143,5.0
A Zampa,Gujarat Titans,7,0.0,0.0,1,10,1,1.0,70.0,7.0
A Zampa,Royal Challengers Bangalore,2,0.0,0.0,1,6,1,-4.0,33.33333333333333,2.0
A Zampa,Sunrisers Hyderabad,0,0.0,0.0,1,1,1,-2.0,0.0,0.0
AA Bilakhia,Chennai Super Kings,12,1.0,0.0,1,14,1,7.0,85.71428571428571,12.0
AA Bilakhia,Delhi Daredevils,32,2.0,0.0,2,49,2,11.0,65.3061224489796,16.0
AA Bilakhia,Rajasthan Royals,3,0.0,0.0,2,9,2,-4.5,33.33333333333333,1.5
AA Bilakhia,Royal Challengers Bangalore,22,2.0,0.0,2,16,2,9.0,137.5,11.0
AA Chavan,Delhi Daredevils,7,1.0,0.0,1,6,1,2.0,116.66666666666667,7.0
AA Chavan,Kochi Tuskers Kerala,1,0.0,0.0,1,3,1,-5.0,33.33333333333333,1.0
AA Chavan,Mumbai Indians,4,1.0,0.0,1,2,1,5.0,200.0,4.0
AA Jhunjhunwala,Chennai Super Kings,19,2.0,1.0,3,11,3,5.666666666666667,172.72727272727272,6.333333333333333
AA Jhunjhunwala,Deccan Chargers,11,1.0,0.0,1,8,1,6.0,137.5,11.0
AA Jhunjhunwala,Delhi Daredevils,59,6.0,1.0,3,60,3,20.333333333333332,98.33333333333333,19.666666666666668
AA Jhunjhunwala,Kings XI Punjab,19,0.0,1.0,2,23,2,6.5,82.6086956521739,9.5
AA Jhunjhunwala,Kolkata Knight Riders,45,5.0,0.0,1,37,1,48.0,121.62162162162163,45.0
AA Jhunjhunwala,Mumbai Indians,46,3.0,2.0,3,50,3,11.666666666666666,92.0,15.333333333333334
AA Jhunjhunwala,Royal Challengers Bangalore,18,2.0,0.0,2,29,2,4.0,62.06896551724138,9.0
AA Noffke,Kolkata Knight Riders,9,1.0,0.0,1,12,1,4.0,75.0,9.0
AB Agarkar,Chennai Super Kings,23,3.0,0.0,3,21,3,4.666666666666667,109.52380952380953,7.666666666666667
AB Agarkar,Deccan Chargers,15,1.0,1.0,2,8,2,6.0,187.5,7.5
AB Agarkar,Delhi Daredevils,56,4.0,2.0,2,42,2,28.0,133.33333333333331,28.0
AB Agarkar,Kings XI Punjab,10,0.0,0.0,2,11,2,-1.0,90.9090909090909,5.0
AB Agarkar,Mumbai Indians,24,3.0,0.0,3,28,3,3.0,85.71428571428571,8.0
AB Agarkar,Rajasthan Royals,39,2.0,2.0,4,35,4,6.75,111.42857142857143,9.75
AB Agarkar,Royal Challengers Bangalore,12,0.0,0.0,2,15,2,0.0,80.0,6.0
AB Barath,Deccan Chargers,7,1.0,0.0,1,10,1,2.0,70.0,7.0
AB Barath,Delhi Daredevils,2,0.0,0.0,1,5,1,-4.0,40.0,2.0
AB Barath,Mumbai Indians,33,4.0,1.0,1,28,1,37.0,117.85714285714286,33.0
AB Dinda,Chennai Super Kings,2,0.0,0.0,1,2,1,-4.0,100.0,2.0
AB Dinda,Deccan Chargers,2,0.0,0.0,1,2,1,-4.0,100.0,2.0
AB Dinda,Delhi Daredevils,7,1.0,0.0,1,8,1,2.0,87.5,7.0
AB Dinda,Kings XI Punjab,4,0.0,0.0,2,10,2,-4.0,40.0,2.0
AB Dinda,Mumbai Indians,3,0.0,0.0,4,12,4,-3.25,25.0,0.75
AB Dinda,Rajasthan Royals,1,0.0,0.0,2,6,2,-3.5,16.666666666666664,0.5
AB Dinda,Royal Challengers Bangalore,7,1.0,0.0,3,7,3,-2.0,100.0,2.3333333333333335
AB Dinda,Sunrisers Hyderabad,0,0.0,0.0,2,3,2,-2.0,0.0,0.0
AB McDonald,Chennai Super Kings,8,0.0,0.0,1,7,1,2.0,114.28571428571428,8.0
AB McDonald,Delhi Daredevils,30,4.0,2.0,2,21,2,17.0,142.85714285714286,15.0
AB McDonald,Kings XI Punjab,17,2.0,0.0,2,17,2,3.5,100.0,8.5
AB McDonald,Mumbai Indians,33,0.0,1.0,1,31,1,33.0,106.4516129032258,33.0
AB McDonald,Rajasthan Royals,14,2.0,0.0,1,9,1,10.0,155.55555555555557,14.0
AB McDonald,Royal Challengers Bangalore,21,1.0,1.0,2,18,2,6.0,116.66666666666667,10.5
AB de Villiers,Chennai Super Kings,532,42.0,25.0,25,361,25,23.28,147.36842105263156,21.28
AB de Villiers,Deccan Chargers,153,12.0,6.0,7,127,7,21.857142857142858,120.4724409448819,21.857142857142858
AB de Villiers,Delhi Capitals,179,9.0,10.0,6,132,6,32.333333333333336,135.6060606060606,29.833333333333332
AB de Villiers,Delhi Daredevils,409,40.0,20.0,9,233,9,59.22222222222222,175.53648068669528,45.44444444444444
AB de Villiers,Gujarat Lions,233,17.0,17.0,4,129,4,76.5,180.6201550387597,58.25
AB de Villiers,Kings XI Punjab,710,47.0,42.0,21,462,21,41.095238095238095,153.67965367965368,33.80952380952381
AB de Villiers,Kochi Tuskers Kerala,54,1.0,5.0,1,41,1,71.0,131.70731707317074,54.0
AB de Villiers,Kolkata Knight Riders,522,46.0,25.0,21,345,21,28.19047619047619,151.30434782608694,24.857142857142858
AB de Villiers,Mumbai Indians,791,72.0,36.0,24,545,24,37.958333333333336,145.13761467889907,32.958333333333336
AB de Villiers,Pune Warriors,149,12.0,10.0,5,70,5,39.0,212.85714285714286,29.8
AB de Villiers,Punjab Kings,26,1.0,2.0,2,27,2,9.5,96.29629629629629,13.0
AB de Villiers,Rajasthan Royals,652,55.0,24.0,20,454,20,38.45,143.61233480176213,32.6
