iter	Passed	Remaining
0	11	3359
1	19	2975
2	27	2691
3	33	2475
4	39	2317
5	46	2299
6	54	2295
7	62	2270
8	69	2262
9	78	2264
10	86	2267
11	92	2228
12	100	2219
13	108	2220
14	119	2265
15	131	2326
16	139	2330
17	152	2384
18	158	2350
19	168	2359
20	182	2422
21	206	2614
22	218	2632
23	230	2653
24	248	2734
25	258	2721
26	265	2689
27	284	2764
28	292	2732
29	299	2699
30	306	2663
31	314	2630
32	324	2622
33	337	2641
34	350	2652
35	355	2610
36	363	2586
37	371	2558
38	379	2536
39	385	2507
40	392	2481
41	397	2443
42	402	2406
43	408	2378
44	413	2343
45	418	2312
46	425	2289
47	432	2269
48	441	2260
49	446	2230
50	450	2201
51	458	2187
52	464	2166
53	470	2143
54	476	2123
55	482	2101
56	488	2082
57	493	2059
58	498	2036
59	506	2025
60	512	2007
61	520	1997
62	526	1981
63	532	1963
64	541	1958
65	549	1946
66	554	1929
67	560	1910
68	566	1895
69	570	1874
70	575	1855
71	578	1830
72	584	1818
73	590	1803
74	596	1789
75	603	1778
76	608	1761
77	614	1747
78	619	1732
79	623	1715
80	627	1697
81	633	1685
82	639	1671
83	643	1653
84	651	1647
85	656	1633
86	662	1621
87	666	1606
88	672	1594
89	676	1578
90	681	1564
91	684	1548
92	688	1533
93	694	1520
94	698	1507
95	702	1492
96	706	1477
97	710	1464
98	714	1450
99	718	1436
100	721	1422
101	727	1411
102	730	1397
103	734	1383
104	738	1371
105	743	1360
106	747	1349
107	752	1337
108	755	1324
109	760	1313
110	764	1301
111	766	1286
112	769	1274
113	774	1263
114	778	1251
115	782	1240
116	785	1229
117	791	1220
118	795	1210
119	799	1199
120	803	1188
121	808	1178
122	811	1168
123	815	1157
124	820	1148
125	824	1138
126	828	1128
127	831	1117
128	835	1107
129	841	1100
130	845	1090
131	850	1082
132	855	1074
133	862	1068
134	869	1063
135	874	1054
136	878	1045
137	883	1036
138	886	1027
139	890	1017
140	894	1008
141	899	1000
142	903	991
143	907	983
144	911	974
145	917	967
146	921	959
147	926	951
148	931	944
149	936	936
150	940	928
151	946	921
152	952	915
153	957	908
154	962	900
155	966	892
156	969	883
157	973	874
158	978	867
159	982	859
160	985	851
161	989	843
162	993	835
163	997	827
164	1001	819
165	1004	811
166	1008	803
167	1012	795
168	1016	787
169	1019	779
170	1023	772
171	1029	765
172	1033	758
173	1038	751
174	1047	748
175	1052	741
176	1056	734
177	1062	728
178	1068	722
179	1076	717
180	1080	710
181	1083	702
182	1087	694
183	1099	693
184	1103	685
185	1109	679
186	1113	672
187	1118	666
188	1123	659
189	1127	652
190	1131	645
191	1135	638
192	1141	632
193	1147	626
194	1154	621
195	1159	615
196	1164	608
197	1169	602
198	1174	595
199	1178	589
200	1183	582
201	1189	576
202	1193	570
203	1197	563
204	1204	558
205	1209	551
206	1214	545
207	1220	539
208	1224	533
209	1229	526
210	1235	521
211	1241	515
212	1245	508
213	1253	503
214	1259	497
215	1266	492
216	1272	486
217	1284	483
218	1288	476
219	1293	470
220	1299	464
221	1304	458
222	1309	452
223	1314	446
224	1321	440
225	1327	434
226	1333	428
227	1339	422
228	1347	417
229	1357	413
230	1365	407
231	1374	402
232	1383	397
233	1388	391
234	1397	386
235	1403	380
236	1413	375
237	1418	369
238	1427	364
239	1433	358
240	1441	352
241	1448	347
242	1457	341
243	1464	336
244	1477	331
245	1483	325
246	1491	320
247	1497	314
248	1504	308
249	1512	302
250	1518	296
251	1525	290
252	1531	284
253	1537	278
254	1542	272
255	1546	265
256	1552	259
257	1557	253
258	1562	247
259	1569	241
260	1574	235
261	1578	228
262	1583	222
263	1587	216
264	1591	210
265	1594	203
266	1600	197
267	1603	191
268	1607	185
269	1611	179
270	1616	172
271	1620	166
272	1623	160
273	1627	154
274	1632	148
275	1636	142
276	1640	136
277	1643	130
278	1649	124
279	1653	118
280	1657	112
281	1661	106
282	1666	100
283	1672	94
284	1677	88
285	1682	82
286	1686	76
287	1689	70
288	1695	64
289	1699	58
290	1702	52
291	1706	46
292	1712	40
293	1715	35
294	1719	29
295	1723	23
296	1728	17
297	1731	11
298	1735	5
299	1739	0
