iter	Passed	Remaining
0	174	174512
1	192	96291
2	204	68045
3	216	53986
4	226	45111
5	236	39255
6	249	35372
7	259	32151
8	269	29666
9	281	27882
10	291	26226
11	301	24858
12	313	23825
13	321	22655
14	330	21717
15	338	20840
16	347	20116
17	356	19451
18	364	18837
19	374	18362
20	382	17848
21	394	17516
22	405	17215
23	417	16979
24	430	16788
25	442	16570
26	450	16235
27	460	15968
28	468	15688
29	477	15444
30	486	15212
31	494	14963
32	504	14777
33	512	14554
34	521	14391
35	530	14201
36	540	14072
37	548	13887
38	558	13758
39	567	13623
40	576	13495
41	588	13429
42	596	13279
43	606	13174
44	615	13054
45	623	12937
46	633	12840
47	641	12726
48	651	12643
49	659	12536
50	670	12478
51	679	12384
52	687	12290
53	697	12216
54	705	12129
55	715	12059
56	723	11973
57	733	11915
58	741	11828
59	751	11769
60	759	11688
61	768	11632
62	777	11565
63	786	11497
64	797	11465
65	805	11397
66	817	11380
67	827	11338
68	835	11268
69	844	11219
70	852	11152
71	862	11119
72	870	11054
73	880	11017
74	888	10957
75	898	10918
76	906	10864
77	915	10817
78	925	10783
79	933	10732
80	942	10693
81	950	10641
82	977	10794
83	984	10740
84	994	10708
85	1002	10658
86	1029	10803
87	1037	10753
88	1045	10705
89	1054	10659
90	1062	10610
91	1070	10564
92	1078	10520
93	1088	10487
94	1096	10443
95	1105	10414
96	1113	10368
97	1123	10337
98	1131	10294
99	1140	10264
100	1148	10221
101	1158	10196
102	1166	10160
103	1175	10128
104	1185	10105
105	1193	10066
106	1202	10039
107	1212	10013
108	1224	10011
109	1236	10004
110	1244	9968
111	1254	9949
112	1263	9918
113	1271	9885
114	1281	9859
115	1289	9827
116	1299	9804
117	1306	9768
118	1316	9745
119	1324	9711
120	1334	9691
121	1342	9659
122	1351	9636
123	1359	9604
124	1369	9587
125	1378	9564
126	1387	9534
127	1396	9515
128	1404	9485
129	1414	9467
130	1422	9438
131	1433	9424
132	1441	9394
133	1451	9380
134	1461	9362
135	1469	9332
136	1478	9312
137	1486	9282
138	1495	9265
139	1503	9237
140	1513	9219
141	1521	9192
142	1530	9173
143	1539	9151
144	1548	9127
145	1557	9111
146	1565	9084
147	1575	9069
148	1583	9043
149	1593	9029
150	1601	9005
151	1610	8987
152	1619	8966
153	1630	8957
154	1640	8943
155	1648	8918
156	1659	8912
157	1668	8889
158	1677	8871
159	1686	8853
160	1694	8829
161	1703	8812
162	1711	8786
163	1720	8772
164	1728	8749
165	1738	8735
166	1746	8710
167	1755	8694
168	1763	8672
169	1773	8660
170	1782	8641
171	1790	8620
172	1800	8606
173	1808	8583
174	1817	8570
175	1825	8547
176	1836	8538
177	1847	8532
178	1856	8513
179	1869	8515
180	1885	8531
181	1894	8515
182	1907	8517
183	1919	8510
184	1927	8492
185	1936	8475
186	1945	8459
187	1953	8438
188	1962	8423
189	1970	8402
190	1980	8388
191	1988	8368
192	1998	8355
193	2006	8336
194	2016	8322
195	2024	8306
196	2035	8295
197	2045	8285
198	2053	8265
199	2063	8252
200	2071	8233
201	2081	8223
202	2091	8211
203	2099	8191
204	2108	8178
205	2116	8158
206	2126	8146
207	2134	8127
208	2144	8114
209	2152	8096
210	2161	8083
211	2170	8066
212	2178	8050
213	2187	8033
214	2196	8019
215	2207	8014
216	2216	7996
217	2225	7983
218	2233	7965
219	2242	7951
220	2251	7935
221	2259	7919
222	2269	7905
223	2277	7888
224	2287	7878
225	2295	7861
226	2305	7852
227	2314	7835
228	2323	7822
229	2331	7806
230	2340	7791
231	2349	7776
232	2356	7758
233	2365	7744
234	2373	7726
235	2382	7713
236	2391	7697
237	2400	7684
238	2407	7666
239	2417	7656
240	2425	7640
241	2436	7631
242	2444	7614
243	2453	7601
244	2461	7585
245	2470	7571
246	2479	7557
247	2487	7542
248	2497	7533
249	2505	7516
250	2515	7507
251	2523	7491
252	2533	7479
253	2541	7463
254	2550	7451
255	2558	7436
256	2567	7422
257	2576	7409
258	2584	7394
259	2593	7382
260	2601	7366
261	2611	7354
262	2618	7337
263	2627	7326
264	2635	7309
265	2645	7299
266	2653	7283
267	2662	7272
268	2671	7258
269	2680	7245
270	2688	7231
271	2696	7218
272	2706	7206
273	2714	7193
274	2724	7181
275	2731	7166
276	2741	7154
277	2748	7139
278	2758	7128
279	2766	7113
280	2776	7103
281	2784	7088
282	2792	7076
283	2801	7062
284	2810	7050
285	2819	7038
286	2826	7022
287	2837	7014
288	2846	7003
289	2856	6994
290	2864	6979
291	2873	6967
292	2881	6953
293	2890	6940
294	2898	6926
295	2907	6914
296	2916	6903
297	2924	6888
298	2933	6878
299	2941	6864
300	2951	6853
301	2958	6838
302	2968	6828
303	2976	6814
304	2986	6805
305	2994	6792
306	3003	6779
307	3011	6766
308	3020	6754
309	3028	6741
310	3036	6728
311	3046	6716
312	3053	6702
