bowler,venue,batting_team,dream 11 score,Matches_Played,avg_drm11_score,Economy,strike_rate,bowlerOppositionWiseMatches_Played,bowlerOppositionWiseavg_drm11_score,bowlerOppositionWiseEconomy,bowlerOppositionWisestrike_rate,bowlerVenueMatches_Played,bowlerVenueavg_drm11_score,bowlerVenueEconomy,bowlerVenuestrike_rate,Venue_Matches_Played,Venue_Avg_Batsmen_Strike_Rate,Venue_Avg_Batsmen_Average,Venue_Avg_Bowler_Economy,Venue_Avg_Bowler_Average,Venue_dream11
AA Noffke,M Chinnaswamy Stadium,Kolkata Knight Riders,25,1,25.0,8.4,25.0,1,25.0,8.4,25.0,1,25.0,8.4,25.0,87.0,132.02523471263223,26.36706349206349,7.921514082757936,26.36706349206349,325.1609195402299
AB Agarkar,M Chinnaswamy Stadium,Royal Challengers Bangalore,85,42,22.214285714285715,8.136585365853659,24.848484848484848,4,27.5,7.953488372093023,21.5,2,42.5,6.521739130434782,15.333333333333334,87.0,132.02523471263223,26.36706349206349,7.921514082757936,26.36706349206349,325.1609195402299
AB Dinda,M Chinnaswamy Stadium,Royal Challengers Bangalore,64,75,31.73333333333333,7.502831969792322,19.37804878048781,8,40.125,7.340782122905028,16.272727272727273,8,31.375,7.840909090909091,19.55555555555556,87.0,132.02523471263223,26.36706349206349,7.921514082757936,26.36706349206349,325.1609195402299
CL White,M Chinnaswamy Stadium,Kolkata Knight Riders,-6,6,3.1666666666666665,10.565217391304348,46.0,2,0.0,11.2,17.0,2,6.5,16.615384615384617,13.0,87.0,132.02523471263223,26.36706349206349,7.921514082757936,26.36706349206349,325.1609195402299
I Sharma,M Chinnaswamy Stadium,Royal Challengers Bangalore,51,101,25.92079207920792,7.420560747663552,26.75,15,25.0,7.230337078651686,32.36363636363637,4,19.0,7.883720930232558,43.0,87.0,132.02523471263223,26.36706349206349,7.921514082757936,26.36706349206349,325.1609195402299
JH Kallis,M Chinnaswamy Stadium,Kolkata Knight Riders,25,89,24.831460674157302,7.410783768760423,24.31081081081081,4,26.0,9.51063829787234,23.5,16,26.125,7.535294117647059,24.285714285714285,87.0,132.02523471263223,26.36706349206349,7.921514082757936,26.36706349206349,325.1609195402299
LR Shukla,M Chinnaswamy Stadium,Royal Challengers Bangalore,25,27,18.185185185185187,7.895705521472393,19.176470588235293,3,14.666666666666666,8.285714285714286,10.5,1,25.0,6.0,9.0,87.0,132.02523471263223,26.36706349206349,7.921514082757936,26.36706349206349,325.1609195402299
P Kumar,M Chinnaswamy Stadium,Kolkata Knight Riders,12,119,26.907563025210084,7.06712172923777,25.852941176470587,16,21.875,7.023411371237458,29.9,18,32.5,7.854014598540146,21.63157894736842,87.0,132.02523471263223,26.36706349206349,7.921514082757936,26.36706349206349,325.1609195402299
SB Joshi,M Chinnaswamy Stadium,Kolkata Knight Riders,0,4,4.75,8.945454545454545,55.0,1,0.0,8.666666666666666,19.0,2,12.5,8.594594594594595,37.0,87.0,132.02523471263223,26.36706349206349,7.921514082757936,26.36706349206349,325.1609195402299
SC Ganguly,M Chinnaswamy Stadium,Royal Challengers Bangalore,93,20,16.4,7.692857142857143,23.33333333333333,4,33.0,5.552238805970149,16.75,1,93.0,4.8,8.333333333333334,87.0,132.02523471263223,26.36706349206349,7.921514082757936,26.36706349206349,325.1609195402299
