iter	RMSE
0	23.08604677
1	22.34042616
2	21.49917902
3	20.79704449
4	20.03837597
5	19.33197226
6	18.71583853
7	18.07894907
8	17.45764973
9	16.90087775
10	16.33203877
11	15.83549973
12	15.36794509
13	14.87008442
14	14.42828943
15	13.97773232
16	13.53483741
17	13.1543606
18	12.82185108
19	12.48200692
20	12.1424182
21	11.79812445
22	11.48253918
23	11.18984793
24	10.89858686
25	10.65054111
26	10.38700547
27	10.15010425
28	9.897747139
29	9.658344336
30	9.447057582
31	9.217586953
32	9.01051626
33	8.781006831
34	8.586650117
35	8.416302279
36	8.244963088
37	8.059958745
38	7.913277658
39	7.759220354
40	7.630856138
41	7.502962075
42	7.352067769
43	7.211711557
44	7.108739127
45	7.003180183
46	6.865572591
47	6.763783539
48	6.643889519
49	6.549459785
50	6.476733355
51	6.39096511
52	6.306341015
53	6.208042213
54	6.130661427
55	6.064998627
56	5.997947238
57	5.920701921
58	5.861921752
59	5.800405808
60	5.727759899
61	5.65845214
62	5.599247981
63	5.557316321
64	5.504328475
65	5.44668
66	5.390414297
67	5.33903316
68	5.300160905
69	5.262926773
70	5.220202784
71	5.171450932
72	5.134712805
73	5.096984139
74	5.05094601
75	5.007859632
76	4.9801918
77	4.944652395
78	4.917266213
79	4.888189455
80	4.859238169
81	4.823728308
82	4.796404878
83	4.773920105
84	4.751792961
85	4.730838611
86	4.705579928
87	4.687172807
88	4.670985245
89	4.646593324
90	4.630833928
91	4.603965179
92	4.585280206
93	4.568100233
94	4.55164547
95	4.531613186
96	4.514933449
97	4.493009681
98	4.475910981
99	4.460082547
100	4.44771461
101	4.433937442
102	4.419026367
103	4.403281279
104	4.374503672
105	4.361763737
106	4.351138992
107	4.339344138
108	4.319944048
109	4.312583932
110	4.29593044
111	4.281949258
112	4.273819778
113	4.261561493
114	4.253164729
115	4.22837559
116	4.220326587
117	4.210424612
118	4.199701423
119	4.191915148
120	4.174163241
121	4.159245899
122	4.145798998
123	4.131894662
124	4.122457812
125	4.10968658
126	4.09434156
127	4.086486678
128	4.07852096
129	4.062155712
130	4.057268065
131	4.050256333
132	4.041960827
133	4.031953433
134	4.022779358
135	4.014226524
136	4.003148668
137	3.998384596
138	3.984584206
139	3.977896407
140	3.965093944
141	3.955762752
142	3.946560563
143	3.939870398
144	3.932001411
145	3.927904816
146	3.922257438
147	3.914148019
148	3.896977377
149	3.890392951
150	3.87684417
151	3.868085153
152	3.849190901
153	3.845031935
154	3.840484205
155	3.834364509
156	3.822611641
157	3.816866731
158	3.807535632
159	3.803952905
160	3.79848292
161	3.783186759
162	3.777875577
163	3.771082982
164	3.75910756
165	3.75313076
166	3.746078623
167	3.738966535
168	3.732125356
169	3.730323493
170	3.724918215
171	3.718119457
172	3.713469194
173	3.708236849
174	3.699891008
175	3.693292738
176	3.690788551
177	3.686167891
178	3.670281615
179	3.665976265
180	3.663395305
181	3.654755619
182	3.641452797
183	3.630871256
184	3.62206132
185	3.612855552
186	3.606522857
187	3.601351758
188	3.592401339
189	3.576548184
190	3.56809866
191	3.564276397
192	3.55420293
193	3.551515856
194	3.547846041
195	3.540951132
196	3.538789456
197	3.533735123
198	3.52374213
199	3.517069473
200	3.510929937
201	3.496506223
202	3.489166756
203	3.479257385
204	3.474464418
205	3.469157744
206	3.458566111
207	3.45246364
208	3.448592331
209	3.437862096
210	3.433361517
211	3.42599701
212	3.418959418
213	3.415123919
214	3.41028117
215	3.403156213
216	3.395086135
217	3.392593245
218	3.385874589
219	3.382992944
220	3.376318656
221	3.372822674
222	3.363579925
223	3.357707065
224	3.349858459
225	3.343230355
226	3.340257944
227	3.337196782
228	3.334396419
229	3.326910039
230	3.321497015
231	3.319431438
232	3.31655943
233	3.313055191
234	3.308697679
235	3.303656747
236	3.297945084
237	3.290897323
238	3.28660052
239	3.27877498
240	3.275312864
241	3.267357438
242	3.261645054
243	3.25511741
244	3.252023165
245	3.244791185
246	3.236830176
247	3.231554512
248	3.224830533
249	3.218129854
250	3.215417401
251	3.21072346
252	3.202689844
253	3.200522253
254	3.19641114
255	3.19042206
256	3.188636998
257	3.181437615
258	3.176825757
259	3.171754647
260	3.165579981
261	3.163231838
262	3.160227526
263	3.156602898
264	3.153815829
265	3.148813697
266	3.144678997
267	3.141039228
268	3.13577965
269	3.130014605
270	3.127676515
271	3.122608777
272	3.115453146
273	3.112580495
274	3.109615544
275	3.10826382
276	3.10525181
277	3.102247645
278	3.098716909
279	3.093504837
280	3.088611051
281	3.084510555
282	3.078654183
283	3.073089664
284	3.07159545
285	3.06903149
286	3.063705749
287	3.060063431
288	3.055230234
289	3.052362738
290	3.049413348
291	3.045455442
292	3.042511019
293	3.039734339
294	3.035409752
295	3.032986166
296	3.031210725
297	3.028869942
298	3.025492183
299	3.022313829
300	3.017279103
301	3.012432799
302	3.007932014
303	3.005812359
304	3.002750073
305	2.999042812
306	2.99637696
307	2.990207086
308	2.987720918
309	2.985215061
310	2.981619066
311	2.978222953
312	2.976018255
313	2.972015298
314	2.968842747
315	2.966379293
316	2.963253046
317	2.961202065
318	2.960040567
319	2.955829208
320	2.95405622
321	2.949753579
322	2.946090881
323	2.941376232
324	2.936878654
325	2.934775409
326	2.931908647
327	2.929251656
328	2.927650919
329	2.926008802
330	2.923351375
331	2.920896653
332	2.918042899
333	2.915515383
334	2.912681361
335	2.911547839
336	2.908587125
337	2.903790902
338	2.90231437
339	2.899648533
340	2.896341126
341	2.893552158
342	2.889771895
343	2.886549574
344	2.884298603
345	2.882326588
346	2.878577407
347	2.877529182
348	2.873439878
349	2.87078346
350	2.866401343
351	2.861866316
352	2.85835825
353	2.853968207
354	2.849623341
355	2.846047431
356	2.841777283
357	2.836866147
358	2.835624287
359	2.833936932
360	2.833596544
361	2.830267515
362	2.826937845
363	2.825614356
364	2.823247636
365	2.819494264
366	2.814940038
367	2.811928308
368	2.810391695
369	2.808193574
370	2.805922001
371	2.803488144
372	2.802313276
373	2.798888462
374	2.796816897
375	2.792871203
376	2.791969455
377	2.790216973
378	2.78767755
379	2.785476453
380	2.782314765
381	2.781211129
382	2.779453617
383	2.777756584
384	2.776264238
385	2.772475134
386	2.768728155
387	2.767494451
388	2.764568977
389	2.760555905
390	2.758007484
391	2.755593244
392	2.754463184
393	2.751974227
394	2.74876076
395	2.747446073
396	2.744852029
397	2.743782647
398	2.742193669
399	2.739997648
400	2.737262787
401	2.735675767
402	2.732131357
403	2.728995336
404	2.728605268
405	2.727962536
406	2.724152994
407	2.72128936
408	2.718153496
409	2.715345942
410	2.712760863
411	2.711673938
412	2.708343356
413	2.706513015
414	2.702729699
415	2.699761799
416	2.696799788
417	2.694608183
418	2.691762754
419	2.68868094
420	2.685381421
421	2.68410309
422	2.679858433
423	2.677423632
424	2.675273797
425	2.67309002
426	2.671073879
427	2.670185771
428	2.668219389
429	2.665045737
430	2.662092254
431	2.659470206
432	2.657605833
433	2.654926354
434	2.651647096
435	2.647872961
436	2.646008797
437	2.645256173
438	2.643140717
439	2.641170583
440	2.641022579
441	2.637380904
442	2.634187101
443	2.631971899
444	2.62968924
445	2.627429568
446	2.625222939
447	2.622349697
448	2.619061085
449	2.617107726
450	2.614980773
451	2.613905
452	2.610716326
453	2.608595287
454	2.607356913
455	2.604670833
456	2.602192804
457	2.600018829
458	2.598205673
459	2.595459481
460	2.593314873
461	2.59270671
462	2.590953623
463	2.588990146
464	2.588820703
465	2.585961211
466	2.58493115
467	2.583493128
468	2.581417646
469	2.579784156
470	2.575791593
471	2.573282986
472	2.571298249
473	2.568571126
474	2.566870711
475	2.565610852
476	2.562577264
477	2.560552981
478	2.557636135
479	2.555906764
480	2.555230402
481	2.552724106
482	2.551661591
483	2.548825701
484	2.546583308
485	2.544791061
486	2.543532017
487	2.542366982
488	2.540523489
489	2.537091992
490	2.5344307
491	2.533725285
492	2.533574673
493	2.531858102
494	2.529978111
495	2.52740375
496	2.525641053
497	2.523979341
498	2.522717745
499	2.520961711
500	2.519371852
501	2.518181042
502	2.51583108
503	2.513508291
504	2.51175787
505	2.509304621
506	2.508661267
507	2.506606369
508	2.50399864
509	2.502294809
510	2.500702902
511	2.497625732
512	2.494771565
513	2.491996183
514	2.489799735
515	2.488262047
516	2.486853887
517	2.485582156
518	2.485236632
519	2.483062756
520	2.482824668
521	2.48133161
522	2.478492977
523	2.476713739
524	2.475077224
525	2.472375531
526	2.470350343
527	2.468852683
528	2.467515044
529	2.465997948
530	2.464478651
531	2.463347115
532	2.461923744
533	2.459857811
534	2.458109479
535	2.456567558
536	2.454302289
537	2.453756847
538	2.452143932
539	2.450897397
540	2.4504291
541	2.448204323
542	2.445885253
543	2.445360011
544	2.444713058
545	2.443277288
546	2.440986576
547	2.439384957
548	2.437249761
549	2.435419601
550	2.433603461
551	2.43186187
552	2.430518203
553	2.429169988
554	2.42793956
555	2.425799099
556	2.424081055
557	2.422141662
558	2.421112745
559	2.418293924
560	2.41556417
561	2.414333836
562	2.412654288
563	2.411286373
564	2.409455931
565	2.407452458
566	2.406142147
567	2.404779941
568	2.403184757
569	2.40224988
570	2.40044897
571	2.399595521
572	2.397810894
573	2.396683036
574	2.395118098
575	2.393194435
576	2.390486756
577	2.389283241
578	2.387718213
579	2.385944404
580	2.385066182
581	2.384690678
582	2.381688509
583	2.379740083
584	2.378318369
585	2.375955272
586	2.374675573
587	2.373656132
588	2.37205496
589	2.371645916
590	2.370395234
591	2.368886552
592	2.368345902
593	2.366348735
594	2.365045876
595	2.363614929
596	2.360753904
597	2.360202154
598	2.357631514
599	2.356115845
600	2.353761002
601	2.351870962
602	2.350834334
603	2.348735649
604	2.348205475
605	2.346578309
606	2.344069439
607	2.343199338
608	2.34185945
609	2.340070494
610	2.337759021
611	2.336282759
612	2.333905641
613	2.331572461
614	2.330468213
615	2.329501299
616	2.328391813
617	2.326804257
618	2.325650696
619	2.323419191
620	2.321795226
621	2.320484268
622	2.318917354
623	2.316889651
624	2.315733328
625	2.314780715
626	2.313433743
627	2.311198794
628	2.311015485
629	2.309748636
630	2.308202714
631	2.307445361
632	2.306106201
633	2.305655777
634	2.304253417
635	2.302486286
636	2.300681978
637	2.298770441
638	2.296843426
639	2.295997948
640	2.294659519
641	2.293607218
642	2.292016746
643	2.290339205
644	2.288245072
645	2.28660867
646	2.284533177
647	2.28369661
648	2.281907771
649	2.280170006
650	2.279273154
651	2.278187184
652	2.276865327
653	2.275389524
654	2.274461676
655	2.272410957
656	2.270134308
657	2.268460555
658	2.267741494
659	2.266741139
660	2.26482281
661	2.26296264
662	2.259945299
663	2.258717273
664	2.258326335
665	2.257589137
666	2.255752337
667	2.254531523
668	2.252239534
669	2.250729731
670	2.249927447
671	2.247577343
672	2.24507384
673	2.243624714
674	2.242248438
675	2.240942026
676	2.238963879
677	2.237843411
678	2.23644531
679	2.23520331
680	2.234009763
681	2.233607981
682	2.232312853
683	2.230984298
684	2.229593962
685	2.22797346
686	2.226313051
687	2.224863841
688	2.223366193
689	2.222169199
690	2.22129842
691	2.221137415
692	2.220211982
693	2.219174108
694	2.217296209
695	2.216357182
696	2.215051674
697	2.213955297
698	2.212673779
699	2.211267072
700	2.209577955
701	2.208245288
702	2.206532334
703	2.205430132
704	2.203459949
705	2.201228859
706	2.19962681
707	2.19874308
708	2.19772713
709	2.196789828
710	2.195242815
711	2.194034026
712	2.192847022
713	2.1922539
714	2.190411225
715	2.189247045
716	2.18778946
717	2.186791594
718	2.185383195
719	2.184512829
720	2.18377523
721	2.182752099
722	2.181651457
723	2.180929763
724	2.179927429
725	2.178366975
726	2.177135683
727	2.175183609
728	2.174097197
729	2.172843907
730	2.170834982
731	2.169806589
732	2.168492805
733	2.166744792
734	2.165007193
735	2.164038855
736	2.163895713
737	2.162940893
738	2.16139629
739	2.160299466
740	2.158429819
741	2.156986652
742	2.155429994
743	2.155361192
744	2.154164469
