iter	Passed	Remaining
0	150	149948
1	154	76885
2	158	52513
3	162	40567
4	167	33321
5	170	28304
6	175	24825
7	179	22241
8	184	20355
9	189	18806
10	194	17488
11	198	16365
12	203	15441
13	207	14579
14	208	13691
15	210	12972
16	212	12311
17	214	11713
18	216	11170
19	218	10687
20	220	10258
21	221	9855
22	223	9484
23	225	9152
24	227	8865
25	229	8582
26	230	8316
27	232	8076
28	234	7847
29	236	7633
30	237	7434
31	239	7248
32	241	7082
33	243	6913
34	245	6765
35	247	6616
36	248	6472
37	250	6339
38	252	6217
39	254	6098
40	256	5999
41	259	5909
42	261	5812
43	263	5714
44	264	5621
45	266	5527
46	268	5438
47	270	5356
48	272	5283
49	273	5203
50	275	5126
51	277	5054
52	279	4986
53	280	4918
54	282	4851
55	284	4794
56	286	4735
57	288	4681
58	290	4628
59	291	4573
60	293	4519
61	295	4466
62	297	4417
63	298	4367
64	300	4320
65	302	4275
66	304	4234
67	305	4186
68	306	4138
69	308	4093
70	309	4050
71	311	4008
72	312	3967
73	313	3926
74	315	3887
75	316	3850
76	318	3814
77	319	3781
78	321	3746
79	322	3710
80	324	3678
81	325	3643
82	326	3612
83	328	3580
84	329	3551
85	331	3520
86	332	3492
87	334	3467
88	336	3446
89	338	3418
90	339	3390
91	340	3363
92	342	3338
93	343	3313
94	345	3287
95	346	3262
96	348	3240
97	349	3218
98	352	3204
99	353	3185
100	355	3164
101	357	3143
102	358	3121
103	359	3100
104	361	3080
105	362	3061
106	364	3040
107	366	3027
108	368	3011
109	370	2999
110	372	2982
111	374	2966
112	375	2949
113	377	2930
114	378	2912
115	380	2896
116	382	2886
117	384	2871
118	385	2856
119	387	2842
120	389	2827
121	390	2811
122	392	2795
123	393	2780
124	395	2765
125	396	2750
126	398	2738
127	399	2722
128	401	2709
129	402	2696
130	404	2682
131	405	2668
132	407	2655
133	408	2641
134	410	2628
135	411	2615
136	414	2609
137	416	2599
138	417	2587
139	419	2574
140	420	2562
141	421	2549
142	423	2536
143	424	2524
144	426	2512
145	427	2502
146	430	2495
147	431	2485
148	434	2481
149	436	2470
150	437	2459
151	438	2448
152	440	2439
153	441	2427
154	443	2416
155	446	2415
156	448	2406
157	450	2401
158	452	2391
159	453	2382
160	455	2371
161	456	2362
162	457	2351
163	459	2342
164	461	2337
165	463	2330
166	465	2323
167	467	2314
168	468	2305
169	470	2295
170	471	2287
171	473	2278
172	475	2274
173	477	2268
174	479	2262
175	481	2255
176	483	2246
177	484	2238
178	486	2230
179	487	2221
180	488	2212
181	490	2206
182	493	2202
183	495	2197
184	497	2191
185	499	2183
186	500	2175
187	501	2167
188	503	2159
189	505	2153
190	507	2150
191	509	2144
192	512	2142
193	513	2134
194	515	2126
195	516	2119
196	518	2111
197	519	2103
198	520	2096
199	524	2096
200	525	2090
201	528	2086
202	529	2080
203	531	2074
204	533	2067
205	534	2059
206	535	2053
207	539	2052
208	540	2046
209	543	2044
210	545	2038
211	546	2031
212	548	2025
213	549	2018
214	551	2011
215	552	2004
216	555	2005
217	557	2001
218	559	1996
219	561	1989
220	562	1983
221	564	1976
222	565	1970
223	566	1964
224	568	1957
225	571	1956
226	573	1951
227	575	1947
228	576	1941
229	578	1935
230	579	1929
231	580	1922
232	582	1916
233	583	1910
234	585	1907
235	587	1902
236	589	1898
237	591	1893
238	593	1888
239	594	1883
240	596	1877
241	597	1871
242	598	1865
243	601	1862
244	602	1857
245	605	1854
246	606	1848
247	607	1843
248	609	1837
249	610	1831
250	611	1825
251	613	1820
252	614	1814
253	617	1813
254	619	1809
255	622	1808
256	623	1803
257	625	1798
258	626	1793
259	628	1787
260	629	1782
261	630	1777
262	633	1775
263	635	1771
264	637	1769
265	639	1763
266	640	1759
267	642	1754
268	643	1749
269	645	1743
270	646	1738
271	648	1736
272	650	1732
273	653	1730
274	654	1725
275	655	1720
276	657	1715
277	658	1710
278	660	1705
279	661	1701
280	664	1699
281	666	1696
282	668	1692
283	669	1688
284	671	1683
285	672	1679
286	673	1674
287	675	1669
288	676	1664
289	677	1659
290	680	1657
291	682	1654
292	683	1649
293	685	1645
294	686	1640
295	687	1636
296	689	1631
297	690	1627
298	692	1622
299	693	1618
300	695	1614
301	696	1610
302	697	1605
303	699	1601
304	700	1596
305	702	1592
306	703	1588
307	705	1584
308	706	1579
309	707	1575
310	709	1571
311	727	1604
312	729	1601
313	730	1596
314	731	1591
315	733	1587
316	734	1582
317	735	1578
318	737	1573
319	738	1569
320	739	1565
321	741	1560
322	743	1557
323	744	1554
324	746	1550
325	747	1546
326	749	1542
327	750	1538
328	752	1533
329	753	1529
330	754	1525
331	756	1521
332	757	1517
333	758	1513
334	760	1509
335	761	1505
336	763	1501
337	764	1497
338	765	1493
339	767	1489
340	768	1485
341	769	1481
342	771	1477
343	772	1473
344	774	1470
345	776	1467
346	778	1464
347	779	1460
348	781	1456
349	782	1453
350	783	1449
351	785	1445
352	786	1442
353	788	1438
354	790	1435
355	791	1432
356	793	1428
357	794	1425
358	796	1421
359	797	1417
360	798	1413
361	800	1410
362	801	1406
363	803	1403
364	804	1399
365	805	1396
366	807	1392
367	808	1389
368	810	1385
369	811	1381
370	813	1378
371	814	1375
372	815	1371
373	817	1368
374	818	1364
375	820	1361
376	821	1357
377	822	1354
378	824	1350
379	825	1347
380	827	1343
381	828	1340
382	829	1336
383	831	1333
384	832	1329
385	834	1326
386	835	1323
387	837	1320
388	838	1317
389	839	1313
390	841	1310
391	842	1307
392	844	1303
393	845	1300
394	846	1296
395	848	1293
396	849	1291
397	851	1288
398	853	1285
399	855	1282
400	856	1279
401	858	1276
402	859	1273
403	860	1270
404	862	1266
405	863	1263
406	865	1260
407	866	1257
408	868	1254
409	869	1251
410	871	1248
411	872	1245
412	873	1242
413	875	1238
414	876	1235
415	878	1232
416	879	1229
417	880	1226
418	882	1223
419	883	1220
420	885	1218
421	887	1215
422	889	1213
423	891	1211
424	893	1208
425	895	1206
426	897	1204
427	898	1200
428	900	1198
429	902	1196
430	905	1195
431	907	1192
432	909	1191
433	911	1188
434	912	1185
435	914	1182
436	916	1180
437	918	1178
438	920	1176
439	922	1174
440	923	1171
441	925	1168
442	926	1165
443	928	1162
444	930	1159
445	932	1158
446	935	1157
447	937	1155
448	939	1152
449	941	1150
450	942	1147
451	944	1145
452	947	1144
453	950	1142
454	952	1141
455	954	1139
456	956	1136
457	958	1134
458	960	1132
459	962	1129
460	964	1128
461	967	1126
462	969	1124
463	971	1121
464	972	1119
465	974	1116
466	975	1113
467	977	1110
468	980	1110
469	982	1108
470	985	1106
471	987	1104
472	988	1101
473	989	1098
474	991	1095
475	992	1092
476	995	1091
477	997	1089
478	1000	1088
479	1001	1085
480	1003	1082
481	1004	1079
482	1005	1076
483	1007	1073
484	1008	1071
485	1011	1070
486	1013	1067
487	1015	1065
488	1017	1063
489	1019	1060
490	1020	1057
491	1021	1055
492	1023	1052
493	1024	1049
494	1027	1047
495	1028	1045
496	1031	1043
497	1032	1040
498	1034	1038
499	1035	1035
500	1036	1032
501	1038	1029
502	1039	1027
503	1041	1025
504	1043	1023
505	1045	1021
506	1047	1018
507	1048	1015
508	1050	1013
509	1051	1010
510	1053	1007
511	1054	1005
512	1056	1002
513	1058	1001
514	1060	998
515	1062	996
516	1064	994
517	1065	991
518	1066	988
519	1068	986
520	1069	983
521	1070	980
522	1073	979
523	1075	976
524	1077	975
525	1079	972
526	1081	970
527	1082	967
528	1083	964
529	1085	962
530	1086	959
531	1088	957
532	1090	955
533	1093	954
534	1095	951
535	1096	949
536	1097	946
537	1099	943
538	1100	941
539	1101	938
540	1103	936
541	1105	934
542	1107	932
543	1109	930
544	1111	927
545	1112	925
546	1114	922
547	1115	920
548	1116	917
549	1118	914
550	1120	912
551	1122	910
552	1123	908
553	1126	906
554	1127	904
555	1129	901
556	1130	899
557	1132	896
558	1133	894
559	1135	892
560	1137	890
561	1140	888
562	1141	886
563	1143	883
564	1144	881
565	1146	878
566	1147	876
567	1148	873
568	1150	871
569	1154	870
570	1157	869
571	1158	866
572	1160	864
573	1161	862
574	1163	859
575	1164	857
576	1166	855
577	1168	853
578	1170	851
579	1172	849
580	1174	846
581	1175	844
582	1177	842
583	1178	839
584	1180	837
585	1181	834
586	1184	833
587	1185	830
588	1188	829
589	1189	826
590	1191	824
591	1192	822
592	1194	819
593	1195	817
594	1197	814
595	1200	813
596	1202	811
597	1204	809
598	1205	807
599	1207	804
600	1208	802
601	1209	799
602	1211	797
603	1212	795
604	1215	793
605	1216	791
606	1219	789
607	1220	787
608	1222	784
609	1223	782
610	1225	780
611	1226	777
612	1227	775
613	1229	773
614	1231	771
615	1233	768
616	1236	767
617	1237	765
618	1239	762
619	1240	760
620	1241	757
621	1243	755
622	1244	753
623	1247	751
624	1248	749
625	1251	747
626	1252	745
627	1254	742
628	1255	740
629	1256	738
630	1258	735
631	1259	733
632	1262	731
633	1263	729
634	1266	727
635	1267	725
636	1269	723
637	1270	721
638	1272	718
639	1273	716
640	1275	714
641	1277	712
642	1279	710
643	1281	708
644	1283	706
645	1284	704
646	1286	701
647	1287	699
648	1289	697
649	1290	694
650	1292	692
651	1295	691
652	1297	689
653	1298	687
654	1300	685
655	1301	682
656	1303	680
657	1304	678
658	1306	675
659	1307	673
660	1310	672
661	1312	670
662	1314	668
663	1315	665
664	1317	663
665	1318	661
666	1320	659
667	1321	656
668	1323	654
669	1325	652
670	1327	650
671	1329	648
672	1331	646
673	1332	644
674	1333	642
675	1335	639
676	1336	637
677	1337	635
678	1340	633
679	1342	631
680	1344	629
681	1346	627
682	1348	625
683	1349	623
684	1351	621
685	1352	619
686	1353	616
687	1356	614
688	1357	612
689	1360	611
690	1361	608
691	1363	606
692	1364	604
693	1365	602
694	1367	600
695	1368	597
696	1370	595
697	1372	593
698	1374	591
699	1376	589
700	1377	587
701	1379	585
702	1380	583
703	1382	581
704	1383	578
705	1385	576
706	1387	575
707	1389	573
708	1391	571
709	1393	569
710	1395	567
711	1396	564
712	1397	562
713	1399	560
714	1400	558
715	1403	556
716	1405	554
717	1407	552
718	1409	550
719	1410	548
720	1412	546
721	1413	544
722	1414	542
723	1416	539
724	1417	537
725	1419	535
726	1422	534
727	1423	531
728	1425	529
729	1426	527
730	1427	525
731	1429	523
732	1430	521
733	1432	519
734	1434	517
735	1436	515
736	1438	513
737	1439	511
738	1440	508
739	1442	506
740	1443	504
741	1444	502
742	1446	500
743	1447	498
744	1449	496
745	1451	494
746	1453	492
747	1455	490
748	1456	488
749	1458	486
750	1459	484
751	1461	481
752	1462	479
753	1463	477
754	1465	475
755	1467	473
756	1469	471
757	1470	469
758	1472	467
759	1473	465
760	1475	463
761	1476	461
762	1477	459
763	1479	456
764	1481	455
765	1483	453
766	1485	451
767	1486	449
768	1488	447
769	1489	444
770	1491	442
771	1492	440
772	1493	438
773	1494	436
774	1497	434
775	1498	432
776	1499	430
777	1501	428
778	1502	426
779	1504	424
780	1505	422
781	1506	420
782	1508	418
783	1509	415
784	1511	413
785	1513	412
786	1515	410
787	1516	407
788	1517	405
789	1518	403
790	1520	401
791	1521	399
792	1523	397
793	1524	395
794	1525	393
795	1527	391
796	1528	389
797	1530	387
798	1531	385
799	1532	383
800	1534	381
801	1535	379
802	1537	377
803	1538	375
804	1539	373
805	1541	371
806	1543	369
807	1545	367
808	1547	365
809	1549	363
810	1550	361
811	1551	359
812	1553	357
813	1554	355
814	1556	353
815	1557	351
816	1558	349
817	1560	347
818	1561	345
819	1563	343
820	1564	341
821	1566	339
822	1567	337
823	1568	335
824	1570	333
825	1571	331
826	1572	329
827	1574	327
828	1576	325
829	1577	323
830	1579	321
831	1580	319
832	1581	317
833	1583	315
834	1584	313
835	1585	311
836	1587	309
837	1588	307
838	1590	305
839	1591	303
840	1593	301
841	1594	299
842	1595	297
843	1597	295
844	1598	293
845	1600	291
846	1601	289
847	1602	287
848	1604	285
849	1605	283
850	1608	281
851	1609	279
852	1611	277
853	1612	275
854	1614	273
855	1615	271
856	1616	269
857	1618	267
858	1619	265
859	1620	263
860	1622	261
861	1624	260
862	1626	258
863	1628	256
864	1629	254
865	1631	252
866	1632	250
867	1633	248
868	1635	246
869	1636	244
870	1638	242
871	1641	240
872	1642	238
873	1643	236
874	1644	234
875	1646	232
876	1647	231
877	1648	229
878	1649	227
879	1651	225
880	1652	223
881	1653	221
882	1655	219
883	1656	217
884	1658	215
885	1659	213
886	1660	211
887	1662	209
888	1664	207
889	1665	205
890	1666	203
891	1668	202
892	1669	200
893	1671	198
894	1672	196
895	1673	194
896	1675	192
897	1676	190
898	1678	188
899	1679	186
900	1680	184
901	1682	182
902	1683	180
903	1684	178
904	1686	177
905	1687	175
906	1689	173
907	1690	171
908	1691	169
909	1693	167
910	1694	165
911	1695	163
912	1697	161
913	1698	159
914	1699	157
915	1701	156
916	1702	154
917	1704	152
918	1705	150
919	1706	148
920	1708	146
921	1709	144
922	1710	142
923	1712	140
924	1713	138
925	1714	137
926	1716	135
927	1717	133
928	1718	131
929	1720	129
930	1721	127
931	1723	125
932	1724	123
933	1725	121
934	1727	120
935	1728	118
936	1730	116
937	1732	114
938	1733	112
939	1735	110
940	1736	108
941	1737	106
942	1739	105
943	1740	103
944	1741	101
945	1743	99
946	1744	97
947	1746	95
948	1747	93
949	1749	92
950	1750	90
951	1752	88
952	1753	86
953	1754	84
954	1756	82
955	1757	80
956	1759	79
957	1760	77
958	1761	75
959	1763	73
960	1764	71
961	1766	69
962	1767	67
963	1769	66
964	1770	64
965	1771	62
966	1773	60
967	1774	58
968	1775	56
969	1777	54
970	1778	53
971	1780	51
972	1781	49
973	1782	47
974	1784	45
975	1785	43
976	1787	42
977	1788	40
978	1789	38
979	1791	36
980	1792	34
981	1794	32
982	1795	31
983	1797	29
984	1798	27
985	1799	25
986	1801	23
987	1802	21
988	1804	20
989	1805	18
990	1806	16
991	1808	14
992	1809	12
993	1810	10
994	1812	9
995	1813	7
996	1815	5
997	1816	3
998	1817	1
999	1819	0
