match_id,season,venue,Total_Runs,Total_Extras,Wickets_Taken,balls_bowled,100s,50s,30s,sixes,fours,ducks,d11
335982,2008-01-01,M Chinnaswamy Stadium,268,36,225,225,1,1,1,17.0,18.0,1,262.0
335983,2008-01-01,Punjab Cricket Association Stadium,430,17,248,248,1,3,5,25.0,38.0,0,530.0
335984,2008-01-01,Arun Jaitley Stadium,244,17,219,219,0,2,2,4.0,32.0,0,242.0
335985,2008-01-01,Wankhede Stadium,315,16,246,246,0,0,3,11.0,33.0,1,320.0
335986,2008-01-01,Eden Gardens,184,38,240,240,0,0,2,10.0,11.0,4,137.0
335987,2008-01-01,Sawai Mansingh Stadium,318,16,241,241,0,2,3,14.0,35.0,1,329.0
335988,2008-01-01,Rajiv Gandhi International Stadium,268,17,205,205,0,2,2,12.0,27.0,0,289.0
335989,2008-01-01,MA Chidambaram Stadium,379,31,255,255,0,2,5,14.0,43.0,0,432.0
335990,2008-01-01,Rajiv Gandhi International Stadium,418,13,248,248,1,3,5,23.0,42.0,0,506.0
335991,2008-01-01,Punjab Cricket Association Stadium,284,14,250,250,0,1,1,9.0,30.0,4,270.0
335992,2008-01-01,M Chinnaswamy Stadium,264,9,229,229,0,1,4,9.0,34.0,2,270.0
335993,2008-01-01,MA Chidambaram Stadium,273,26,233,233,0,1,3,9.0,26.0,2,273.0
335994,2008-01-01,Dr DY Patil Sports Academy,289,20,202,202,1,1,5,16.0,27.0,1,354.0
335995,2008-01-01,Punjab Cricket Association Stadium,300,20,248,248,0,1,3,5.0,37.0,1,281.0
335996,2008-01-01,M Chinnaswamy Stadium,332,11,247,247,0,3,4,13.0,31.0,1,349.0
335997,2008-01-01,Eden Gardens,247,28,243,243,0,1,3,5.0,32.0,1,241.0
335998,2008-01-01,Arun Jaitley Stadium,356,16,243,243,0,3,5,12.0,37.0,0,395.0
335999,2008-01-01,Rajiv Gandhi International Stadium,321,10,239,239,0,2,4,5.0,40.0,0,331.0
336000,2008-01-01,Sawai Mansingh Stadium,321,26,249,249,0,3,5,11.0,30.0,1,307.0
336001,2008-01-01,MA Chidambaram Stadium,328,13,244,244,0,3,4,10.0,33.0,0,367.0
336002,2008-01-01,Rajiv Gandhi International Stadium,320,16,240,240,0,0,6,14.0,34.0,2,336.0
336003,2008-01-01,Punjab Cricket Association Stadium,326,21,247,247,0,2,3,13.0,31.0,0,333.0
336004,2008-01-01,Dr DY Patil Sports Academy,281,14,238,238,0,0,4,13.0,23.0,2,258.0
336005,2008-01-01,Sawai Mansingh Stadium,191,28,209,209,0,0,3,3.0,22.0,4,163.0
336006,2008-01-01,M Chinnaswamy Stadium,226,27,238,238,0,1,4,4.0,28.0,5,210.0
336007,2008-01-01,MA Chidambaram Stadium,277,15,236,236,0,1,3,12.0,27.0,1,280.0
