venue,Total_Runs,Total_Extras,Total_Wickets,Venue_Matches_Played,fours,sixes,Total_Balls,Venue_dream11,Venue_Avg_Batsmen_Strike_Rate,Venue_Avg_Batsmen_Average,Venue_Avg_Bowler_Economy,Avg_Bowler_strike_rate,Venue_Avg_Bowler_Average
Arun Jaitley Stadium,25507,1316,20017,85,2364.0,999.0,20017,309.6823529411765,127.42668731578159,1.274266873157816,7.645601238946895,1.0,1.274266873157816
Barabati Stadium,2195,83,1695,7,215.0,68.0,1695,324.2857142857143,129.4985250737463,1.294985250737463,7.769911504424779,1.0,1.294985250737463
Barsapara Cricket Stadium,694,36,504,2,70.0,24.0,504,375.0,137.6984126984127,1.376984126984127,8.261904761904763,1.0,1.376984126984127
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1774,101,1583,7,129.0,70.0,1583,235.57142857142858,112.065698041693,1.12065698041693,6.723941882501579,1.0,1.12065698041693
Brabourne Stadium,8760,545,6526,27,875.0,333.0,6526,341.74074074074076,134.23230156297885,1.3423230156297885,8.053938093778731,1.0,1.3423230156297885
Buffalo Park,742,57,715,3,56.0,27.0,715,230.66666666666666,103.77622377622377,1.0377622377622377,6.2265734265734265,1.0,1.0377622377622377
De Beers Diamond Oval,858,39,726,3,62.0,34.0,726,260.6666666666667,118.18181818181819,1.1818181818181819,7.090909090909091,1.0,1.1818181818181819
Dr DY Patil Sports Academy,10689,694,8898,37,912.0,458.0,8898,287.0,120.1281186783547,1.201281186783547,7.207687120701281,1.0,1.201281186783547
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,3585,161,3037,13,291.0,154.0,3037,265.38461538461536,118.04412248929866,1.1804412248929865,7.082647349357919,1.0,1.1804412248929865
Dubai International Cricket Stadium,13753,697,11229,46,1189.0,495.0,11229,303.5217391304348,122.47751358090657,1.2247751358090657,7.348650814854395,1.0,1.2247751358090657
Eden Gardens,25593,1396,20177,86,2457.0,1029.0,20177,308.83720930232556,126.84244436734897,1.2684244436734897,7.610546662040938,1.0,1.2684244436734897
Green Park,1236,62,921,4,151.0,36.0,921,327.75,134.20195439739413,1.3420195439739413,8.052117263843648,1.0,1.3420195439739413
Himachal Pradesh Cricket Association Stadium,3477,207,2660,11,369.0,150.0,2660,343.6363636363636,130.71428571428572,1.3071428571428572,7.8428571428571425,1.0,1.3071428571428572
Holkar Cricket Stadium,2735,137,1965,9,222.0,155.0,1965,335.0,139.18575063613233,1.3918575063613232,8.351145038167939,1.0,1.3918575063613232
JSCA International Stadium Complex,1956,100,1671,7,154.0,76.0,1671,275.14285714285717,117.05565529622982,1.170556552962298,7.023339317773788,1.0,1.170556552962298
Kingsmead,4076,277,3643,15,361.0,130.0,3643,255.4,111.8858083996706,1.118858083996706,6.713148503980236,1.0,1.118858083996706
M Chinnaswamy Stadium,26578,1494,20131,87,2367.0,1251.0,20131,325.1609195402299,132.02523471263225,1.3202523471263226,7.921514082757936,1.0,1.3202523471263226
MA Chidambaram Stadium,22563,1246,18561,76,1926.0,812.0,18561,296.75,121.56133828996283,1.2156133828996283,7.29368029739777,1.0,1.2156133828996283
Maharashtra Cricket Association Stadium,10600,515,8414,35,875.0,464.0,8414,313.2857142857143,125.98050867601616,1.2598050867601616,7.55883052056097,1.0,1.2598050867601616
Narendra Modi Stadium,8782,393,6723,28,724.0,382.0,6723,326.35714285714283,130.62620853785512,1.3062620853785512,7.837572512271308,1.0,1.3062620853785512
Nehru Stadium,1286,77,1155,5,123.0,39.0,1155,245.0,111.34199134199135,1.1134199134199134,6.6805194805194805,1.0,1.1134199134199134
New Wanderers Stadium,2184,108,1940,8,185.0,64.0,1940,260.375,112.57731958762886,1.1257731958762887,6.754639175257732,1.0,1.1257731958762887
Newlands,1684,113,1539,7,146.0,63.0,1539,222.57142857142858,109.42170240415854,1.0942170240415854,6.565302144249513,1.0,1.0942170240415854
OUTsurance Oval,488,41,500,2,42.0,8.0,500,209.0,97.6,0.976,5.856,1.0,0.976
Punjab Cricket Association Stadium,18929,935,14476,61,1840.0,602.0,14476,323.4918032786885,130.76126001657917,1.3076126001657917,7.84567560099475,1.0,1.3076126001657917
Rajiv Gandhi International Stadium,20875,994,16923,71,1894.0,741.0,16923,297.0,123.3528334219701,1.233528334219701,7.401170005318206,1.0,1.233528334219701
Saurashtra Cricket Association Stadium,3198,135,2381,10,306.0,104.0,2381,341.6,134.31331373372532,1.3431331373372533,8.058798824023519,1.0,1.3431331373372533
Sawai Mansingh Stadium,14975,857,12277,52,1482.0,426.0,12277,288.86538461538464,121.97605278162418,1.2197605278162418,7.318563166897451,1.0,1.2197605278162418
Shaheed Veer Narayan Singh International Stadium,1664,77,1431,6,161.0,44.0,1431,270.1666666666667,116.28232005590495,1.1628232005590495,6.976939203354298,1.0,1.1628232005590495
Sharjah Cricket Stadium,8159,424,6672,28,593.0,394.0,6672,295.14285714285717,122.28717026378897,1.2228717026378897,7.337230215827338,1.0,1.2228717026378897
Sheikh Zayed Stadium,8467,390,6925,29,782.0,255.0,6925,294.1034482758621,122.26714801444044,1.2226714801444043,7.336028880866426,1.0,1.2226714801444043
St George's Park,1904,129,1677,7,151.0,62.0,1677,263.85714285714283,113.53607632677401,1.13536076326774,6.81216457960644,1.0,1.13536076326774
Subrata Roy Sahara Stadium,4296,232,3825,16,362.0,138.0,3825,251.375,112.31372549019608,1.1231372549019607,6.738823529411765,1.0,1.1231372549019607
SuperSport Park,3440,213,2866,12,318.0,120.0,2866,290.8333333333333,120.02791346824844,1.2002791346824844,7.201674808094906,1.0,1.2002791346824844
Vidarbha Cricket Association Stadium,822,60,742,3,66.0,26.0,742,240.66666666666666,110.78167115902966,1.1078167115902966,6.646900269541779,1.0,1.1078167115902966
Wankhede Stadium,34511,1934,26818,111,3227.0,1484.0,26818,325.0990990990991,128.68595719293012,1.2868595719293012,7.721157431575807,1.0,1.2868595719293012
Zayed Cricket Stadium,2372,103,1874,8,228.0,73.0,1874,294.0,126.57417289220918,1.2657417289220918,7.594450373532551,1.0,1.2657417289220918
