match_id,striker,venue,bowling_team,Total_Runs,Total_Extras,Bowler,Dismissal_Type,100,50,30,Dismissal,Balls_Faced,4s,6s,Strike_Rate,ducks,dream 11 score
335982,AA Noffke,M Chinnaswamy Stadium,Kolkata Knight Riders,9,2,SC Ganguly,run out,0,0,0,1,12,1.0,0.0,75.0,0,4.0
335982,B Akhil,M Chinnaswamy Stadium,Kolkata Knight Riders,0,0,AB Agarkar,caught,0,0,0,1,2,0.0,0.0,0.0,1,-2.0
335982,BB McCullum,M Chinnaswamy Stadium,Royal Challengers Bangalore,158,11,0,0,1,1,1,1,77,10.0,13.0,205.19480519480518,0,222.0
335982,CL White,M Chinnaswamy Stadium,Kolkata Knight Riders,6,0,AB Agarkar,caught,0,0,0,1,10,0.0,0.0,60.0,0,0.0
335982,DJ Hussey,M Chinnaswamy Stadium,Royal Challengers Bangalore,12,0,AA Noffke,caught,0,0,0,1,12,1.0,0.0,100.0,0,7.0
335982,JH Kallis,M Chinnaswamy Stadium,Kolkata Knight Riders,8,1,AB Agarkar,caught,0,0,0,1,7,0.0,1.0,114.28571428571428,0,4.0
335982,MV Boucher,M Chinnaswamy Stadium,Kolkata Knight Riders,7,3,SC Ganguly,caught,0,0,0,1,11,1.0,0.0,63.63636363636363,0,2.0
335982,Mohammad Hafeez,M Chinnaswamy Stadium,Royal Challengers Bangalore,5,0,0,0,0,0,0,1,3,1.0,0.0,166.66666666666669,0,0.0
335982,P Kumar,M Chinnaswamy Stadium,Kolkata Knight Riders,18,5,0,0,0,0,0,1,17,1.0,2.0,105.88235294117648,0,17.0
335982,R Dravid,M Chinnaswamy Stadium,Kolkata Knight Riders,2,0,I Sharma,bowled,0,0,0,1,3,0.0,0.0,66.66666666666666,0,-4.0
335982,RT Ponting,M Chinnaswamy Stadium,Royal Challengers Bangalore,20,4,JH Kallis,caught,0,0,0,1,20,1.0,1.0,100.0,0,17.0
335982,SB Joshi,M Chinnaswamy Stadium,Kolkata Knight Riders,3,2,LR Shukla,caught,0,0,0,1,8,0.0,0.0,37.5,0,-3.0
335982,SC Ganguly,M Chinnaswamy Stadium,Royal Challengers Bangalore,10,2,Z Khan,caught,0,0,0,1,12,2.0,0.0,83.33333333333334,0,6.0
335982,V Kohli,M Chinnaswamy Stadium,Kolkata Knight Riders,1,4,AB Dinda,bowled,0,0,0,1,5,0.0,0.0,20.0,0,-5.0
335982,W Jaffer,M Chinnaswamy Stadium,Kolkata Knight Riders,6,2,AB Dinda,caught,0,0,0,1,18,0.0,0.0,33.33333333333333,0,0.0
335982,Z Khan,M Chinnaswamy Stadium,Kolkata Knight Riders,3,0,SC Ganguly,bowled,0,0,0,1,8,0.0,0.0,37.5,0,-3.0
335983,IK Pathan,Punjab Cricket Association Stadium,Chennai Super Kings,3,0,0,0,0,0,0,1,5,0.0,0.0,60.0,0,-3.0
335983,JDP Oram,Punjab Cricket Association Stadium,Kings XI Punjab,13,1,IK Pathan,bowled,0,0,0,1,11,0.0,1.0,118.18181818181819,0,9.0
335983,JR Hopes,Punjab Cricket Association Stadium,Chennai Super Kings,71,1,P Amarnath,caught,0,1,1,1,34,10.0,3.0,208.82352941176472,0,99.0
335983,K Goel,Punjab Cricket Association Stadium,Chennai Super Kings,24,1,MS Gony,caught,0,0,0,1,20,2.0,1.0,120.0,0,22.0
335983,KC Sangakkara,Punjab Cricket Association Stadium,Chennai Super Kings,54,6,M Muralitharan,caught,0,1,1,1,35,5.0,2.0,154.2857142857143,0,69.0
335983,MEK Hussey,Punjab Cricket Association Stadium,Kings XI Punjab,116,1,0,0,1,1,1,1,54,8.0,9.0,214.81481481481484,0,170.0
335983,ML Hayden,Punjab Cricket Association Stadium,Kings XI Punjab,25,2,IK Pathan,bowled,0,0,0,1,17,4.0,1.0,147.05882352941177,0,25.0
335983,MS Dhoni,Punjab Cricket Association Stadium,Kings XI Punjab,2,0,JR Hopes,lbw,0,0,0,1,3,0.0,0.0,66.66666666666666,0,-4.0
335983,PA Patel,Punjab Cricket Association Stadium,Kings XI Punjab,15,1,B Lee,caught,0,0,0,1,11,3.0,0.0,136.36363636363635,0,12.0
335983,S Badrinath,Punjab Cricket Association Stadium,Kings XI Punjab,31,0,0,0,0,0,1,1,14,3.0,2.0,221.42857142857144,0,42.0
335983,SK Raina,Punjab Cricket Association Stadium,Kings XI Punjab,32,1,WA Mota,caught,0,0,1,1,14,2.0,3.0,228.57142857142856,0,44.0
335983,SM Katich,Punjab Cricket Association Stadium,Chennai Super Kings,21,3,0,0,0,0,0,1,17,0.0,1.0,123.52941176470588,0,17.0
335983,Yuvraj Singh,Punjab Cricket Association Stadium,Chennai Super Kings,23,0,Joginder Sharma,caught,0,0,0,1,13,1.0,2.0,176.9230769230769,0,28.0
335984,D Salunkhe,Arun Jaitley Stadium,Delhi Daredevils,26,0,0,0,0,0,0,1,20,4.0,0.0,130.0,0,24.0
335984,DS Lehmann,Arun Jaitley Stadium,Delhi Daredevils,1,0,MF Maharoof,lbw,0,0,0,1,2,0.0,0.0,50.0,0,-5.0
335984,G Gambhir,Arun Jaitley Stadium,Rajasthan Royals,58,3,0,0,0,1,1,1,49,7.0,1.0,118.36734693877551,0,73.0
335984,M Kaif,Arun Jaitley Stadium,Delhi Daredevils,9,2,R Bhatia,caught,0,0,0,1,19,0.0,0.0,47.368421052631575,0,3.0
335984,M Rawat,Arun Jaitley Stadium,Delhi Daredevils,2,0,R Bhatia,bowled,0,0,0,1,4,0.0,0.0,50.0,0,-4.0
335984,RA Jadeja,Arun Jaitley Stadium,Delhi Daredevils,29,4,DL Vettori,bowled,0,0,0,1,24,2.0,2.0,120.83333333333333,0,29.0
335984,S Dhawan,Arun Jaitley Stadium,Rajasthan Royals,52,7,0,0,0,1,1,1,44,8.0,0.0,118.18181818181819,0,66.0
335984,SK Trivedi,Arun Jaitley Stadium,Delhi Daredevils,3,0,0,0,0,0,0,1,7,0.0,0.0,42.857142857142854,0,-3.0
335984,SK Warne,Arun Jaitley Stadium,Delhi Daredevils,14,0,MF Maharoof,bowled,0,0,0,1,13,2.0,0.0,107.6923076923077,0,10.0
335984,SR Watson,Arun Jaitley Stadium,Delhi Daredevils,21,0,R Bhatia,run out,0,0,0,1,15,4.0,0.0,140.0,0,19.0
335984,T Kohli,Arun Jaitley Stadium,Delhi Daredevils,7,1,GD McGrath,caught,0,0,0,1,13,0.0,1.0,53.84615384615385,0,3.0
