striker,venue,Total_Runs,Fours,Sixes,numberOfDismissals,Balls_Faced,venueWise_Matches_Played,venueWise_dr11,venueWise_Strike_Rate,venueWise_Average
A Ashish Reddy,Arun Jaitley Stadium,16,2.0,0.0,1,9,1,18.0,177.77777777777777,16.0
A Ashish Reddy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,28,1.0,2.0,2,17,2,13.5,164.70588235294116,14.0
A Ashish Reddy,Eden Gardens,4,0.0,0.0,1,5,1,-2.0,80.0,4.0
A Ashish Reddy,M Chinnaswamy Stadium,35,2.0,3.0,2,22,2,20.5,159.0909090909091,17.5
A Ashish Reddy,MA Chidambaram Stadium,39,2.0,3.0,2,19,2,22.5,205.26315789473685,19.5
A Ashish Reddy,Maharashtra Cricket Association Stadium,19,0.0,1.0,1,15,1,15.0,126.66666666666666,19.0
A Ashish Reddy,Punjab Cricket Association Stadium,22,1.0,2.0,1,8,1,27.0,275.0,22.0
A Ashish Reddy,Rajiv Gandhi International Stadium,93,7.0,3.0,11,80,11,4.7272727272727275,116.25000000000001,8.454545454545455
A Ashish Reddy,Sawai Mansingh Stadium,14,1.0,0.0,1,11,1,9.0,127.27272727272727,14.0
A Ashish Reddy,Wankhede Stadium,10,0.0,1.0,1,10,1,6.0,100.0,10.0
A Badoni,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,94,3.0,6.0,5,68,5,19.4,138.23529411764704,18.8
A Badoni,Brabourne Stadium,19,0.0,2.0,2,15,2,7.5,126.66666666666666,9.5
A Badoni,Dr DY Patil Sports Academy,42,6.0,1.0,3,29,3,12.666666666666666,144.82758620689654,14.0
A Badoni,Eden Gardens,25,2.0,1.0,1,22,1,23.0,113.63636363636364,25.0
A Badoni,M Chinnaswamy Stadium,30,4.0,0.0,1,29,1,32.0,103.44827586206897,30.0
A Badoni,MA Chidambaram Stadium,24,0.0,0.0,2,26,2,6.0,92.3076923076923,12.0
A Badoni,Maharashtra Cricket Association Stadium,27,1.0,0.0,3,35,3,3.3333333333333335,77.14285714285715,9.0
A Badoni,Narendra Modi Stadium,21,1.0,2.0,1,12,1,26.0,175.0,21.0
A Badoni,Punjab Cricket Association Stadium,43,3.0,3.0,1,25,1,56.0,172.0,43.0
A Badoni,Sawai Mansingh Stadium,1,0.0,0.0,1,4,1,-5.0,25.0,1.0
A Badoni,Wankhede Stadium,73,4.0,4.0,3,60,3,26.333333333333332,121.66666666666666,24.333333333333332
A Chandila,M Chinnaswamy Stadium,4,0.0,0.0,1,6,1,-2.0,66.66666666666666,4.0
A Chandila,Rajiv Gandhi International Stadium,0,0.0,0.0,1,1,1,-2.0,0.0,0.0
A Chopra,Eden Gardens,17,2.0,0.0,3,26,3,0.3333333333333333,65.38461538461539,5.666666666666667
A Chopra,Newlands,11,2.0,0.0,1,20,1,7.0,55.00000000000001,11.0
A Chopra,Rajiv Gandhi International Stadium,24,3.0,0.0,1,25,1,21.0,96.0,24.0
A Chopra,Wankhede Stadium,1,0.0,0.0,1,4,1,-5.0,25.0,1.0
A Choudhary,M Chinnaswamy Stadium,19,1.0,0.0,2,18,2,4.0,105.55555555555556,9.5
A Choudhary,Rajiv Gandhi International Stadium,6,0.0,1.0,1,2,1,8.0,300.0,6.0
A Dananjaya,Wankhede Stadium,4,0.0,0.0,1,5,1,-2.0,80.0,4.0
A Flintoff,Kingsmead,16,1.0,0.0,1,18,1,11.0,88.88888888888889,16.0
A Flintoff,Newlands,24,2.0,1.0,1,25,1,22.0,96.0,24.0
A Flintoff,St George's Park,22,2.0,1.0,1,14,1,20.0,157.14285714285714,22.0
A Kumble,Arun Jaitley Stadium,1,0.0,0.0,1,1,1,-5.0,100.0,1.0
A Kumble,Dr DY Patil Sports Academy,1,0.0,0.0,1,3,1,-5.0,33.33333333333333,1.0
A Kumble,Kingsmead,6,1.0,0.0,2,7,2,-2.5,85.71428571428571,3.0
A Kumble,M Chinnaswamy Stadium,5,0.0,0.0,3,11,3,-4.333333333333333,45.45454545454545,1.6666666666666667
A Kumble,MA Chidambaram Stadium,2,0.0,0.0,1,1,1,2.0,200.0,2.0
A Kumble,New Wanderers Stadium,1,0.0,0.0,1,1,1,-5.0,100.0,1.0
A Kumble,Newlands,1,0.0,0.0,1,1,1,-5.0,100.0,1.0
A Kumble,Punjab Cricket Association Stadium,0,0.0,0.0,1,1,1,-2.0,0.0,0.0
A Kumble,Sawai Mansingh Stadium,8,1.0,0.0,1,8,1,3.0,100.0,8.0
A Kumble,St George's Park,8,1.0,0.0,2,11,2,-1.5,72.72727272727273,4.0
A Kumble,Vidarbha Cricket Association Stadium,2,0.0,0.0,1,4,1,-4.0,50.0,2.0
A Manohar,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,3,0.0,0.0,1,5,1,-3.0,60.0,3.0
A Manohar,Dr DY Patil Sports Academy,80,9.0,3.0,3,56,3,28.333333333333332,142.85714285714286,26.666666666666668
A Manohar,Maharashtra Cricket Association Stadium,13,2.0,0.0,2,14,2,1.5,92.85714285714286,6.5
A Manohar,Narendra Modi Stadium,109,6.0,7.0,4,78,4,31.75,139.74358974358972,27.25
A Manohar,Wankhede Stadium,17,3.0,0.0,3,12,3,4.0,141.66666666666669,5.666666666666667
A Mishra,Arun Jaitley Stadium,84,3.0,2.0,13,96,13,1.9230769230769231,87.5,6.461538461538462
A Mishra,Barabati Stadium,1,0.0,0.0,2,2,2,-3.5,50.0,0.5
A Mishra,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,19,2.0,0.0,1,30,1,15.0,63.33333333333333,19.0
A Mishra,Brabourne Stadium,13,0.0,0.0,2,20,2,0.5,65.0,6.5
A Mishra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,8,1.0,0.0,4,13,4,-1.25,61.53846153846154,2.0
A Mishra,Eden Gardens,51,4.0,1.0,5,54,5,7.4,94.44444444444444,10.2
A Mishra,Green Park,8,2.0,0.0,1,2,1,10.0,400.0,8.0
A Mishra,Kingsmead,2,0.0,0.0,1,3,1,-4.0,66.66666666666666,2.0
A Mishra,M Chinnaswamy Stadium,8,0.0,0.0,1,14,1,2.0,57.14285714285714,8.0
A Mishra,MA Chidambaram Stadium,29,3.0,0.0,4,42,4,2.0,69.04761904761905,7.25
A Mishra,Maharashtra Cricket Association Stadium,30,3.0,0.0,1,26,1,31.0,115.38461538461537,30.0
A Mishra,Narendra Modi Stadium,0,0.0,0.0,1,2,1,-2.0,0.0,0.0
A Mishra,Nehru Stadium,0,0.0,0.0,1,1,1,-2.0,0.0,0.0
A Mishra,New Wanderers Stadium,11,1.0,1.0,1,8,1,8.0,137.5,11.0
