bowler,Runs_Conceded,Wickets_Taken,balls_bowled,Matches_Played,five_wickets_haul,three_wickets_haul,four_wickets_haul,maidens,avg_drm11_score,Economy,strike_rate
A Ashish Reddy,386,19,270,20,0,1,0,0,48.95,8.577777777777778,14.210526315789474
A Badoni,11,2,13,3,0,0,0,0,27.333333333333332,5.076923076923077,6.5
A Chandila,242,11,234,12,0,0,1,1,64.75,6.205128205128205,21.272727272727273
A Choudhary,137,5,108,5,0,0,0,2,74.2,7.611111111111111,21.6
A Dananjaya,46,0,25,1,0,0,0,0,50.0,11.04,26.0
A Flintoff,105,2,66,3,0,0,0,0,60.666666666666664,9.545454545454545,33.0
A Kumble,1027,49,983,42,2,1,2,1,78.45238095238095,6.268565615462869,20.06122448979592
A Mishra,4045,182,3432,161,1,14,5,10,72.14906832298136,7.071678321678322,18.857142857142858
A Mithun,448,8,312,16,0,0,0,1,51.25,8.615384615384615,39.0
A Nehra,2422,121,1974,88,1,15,2,13,81.42045454545455,7.361702127659575,16.31404958677686
A Nel,31,1,18,1,0,0,0,0,61.0,10.333333333333334,18.0
A Nortje,1237,55,957,40,0,3,1,5,83.525,7.755485893416928,17.4
A Singh,603,31,486,23,0,2,1,3,78.04347826086956,7.444444444444445,15.67741935483871
A Symonds,656,23,540,30,0,1,0,2,56.166666666666664,7.288888888888889,23.47826086956522
A Uniyal,64,3,38,2,0,1,0,0,71.5,10.105263157894736,12.666666666666666
A Zampa,547,30,425,20,1,2,0,1,81.0,7.722352941176471,14.166666666666666
AA Chavan,318,8,255,13,0,0,0,1,56.0,7.482352941176471,31.875
AA Jhunjhunwala,126,1,88,10,0,0,0,0,18.7,8.590909090909092,88.0
AA Kazi,20,1,13,1,0,0,0,0,51.0,9.23076923076923,13.0
AA Noffke,35,1,25,1,0,0,0,0,75.0,8.4,25.0
AB Agarkar,1112,33,820,42,0,3,0,3,59.595238095238095,8.136585365853659,24.848484848484848
AB Dinda,1987,82,1589,75,0,7,2,10,71.46666666666667,7.5028319697923225,19.378048780487806
AB McDonald,259,14,188,10,0,1,1,0,72.2,8.26595744680851,13.428571428571429
AC Gilchrist,0,1,1,1,0,0,0,0,33.0,0.0,1.0
AC Thomas,394,16,327,15,0,1,0,3,72.93333333333334,7.229357798165138,20.4375
AC Voges,74,1,56,7,0,0,0,0,18.714285714285715,7.928571428571429,56.0
AD Mascarenhas,353,19,310,13,1,1,0,1,85.76923076923077,6.832258064516129,16.31578947368421
AD Mathews,1054,28,807,44,0,1,1,0,52.31818181818182,7.836431226765799,28.821428571428573
AD Russell,2278,106,1583,98,2,7,3,3,59.285714285714285,8.634238787113077,14.933962264150944
AF Milne,313,9,217,10,0,2,0,2,67.3,8.654377880184331,24.11111111111111
AG Murtaza,304,12,269,12,0,3,0,2,73.33333333333333,6.780669144981412,22.416666666666668
AJ Finch,66,1,44,5,0,0,0,0,22.6,9.0,44.0
AJ Hosein,40,1,24,1,0,0,0,0,73.0,10.0,24.0
AJ Tye,949,48,714,30,2,3,2,2,90.0,7.974789915966387,14.875
AK Markram,156,2,110,12,0,0,0,0,21.5,8.50909090909091,55.0
AL Menaria,140,3,113,12,0,0,0,0,24.416666666666668,7.433628318584071,37.666666666666664
AM Nayar,311,9,239,19,0,1,0,0,36.578947368421055,7.807531380753138,26.555555555555557
AM Rahane,5,1,6,1,0,0,0,0,35.0,5.0,6.0
AM Salvi,190,7,156,7,0,0,0,0,70.14285714285714,7.3076923076923075,22.285714285714285
AN Ahmed,467,15,362,17,0,1,0,1,65.23529411764706,7.740331491712707,24.133333333333333
AP Dole,105,5,73,3,0,0,0,0,89.0,8.63013698630137,14.6
AR Patel,3371,120,2887,134,0,3,1,5,66.23880597014926,7.005888465535158,24.058333333333334
AS Joseph,561,21,390,19,1,0,0,2,69.21052631578948,8.63076923076923,18.571428571428573
AS Rajpoot,772,24,567,29,1,1,0,2,60.827586206896555,8.16931216931217,23.625
AS Raut,44,0,30,5,0,0,0,0,10.8,8.8,35.0
AS Roy,125,5,108,6,0,0,0,0,57.5,6.944444444444445,21.6
AU Rashid,91,2,60,3,0,0,0,0,55.333333333333336,9.1,30.0
AUK Pathan,57,0,41,3,0,0,0,0,25.333333333333332,8.341463414634147,44.0
Abdul Samad,108,2,55,5,0,0,0,0,29.6,11.781818181818181,27.5
Abdur Razzak,23,0,14,1,0,0,0,0,28.0,9.857142857142858,15.0
Abhishek Sharma,329,9,236,22,0,0,0,0,31.318181818181817,8.364406779661017,26.22222222222222
Akash Deep,255,7,152,7,0,1,0,1,69.0,10.06578947368421,21.714285714285715
Akash Madhwal,212,16,160,8,1,1,1,1,93.75,7.95,10.0
Akash Singh,224,5,141,7,0,0,0,1,58.42857142857143,9.53191489361702,28.2
Aman Hakim Khan,13,0,6,1,0,0,0,0,6.0,13.0,7.0
Anand Rajan,188,10,162,8,0,0,1,0,75.25,6.962962962962963,16.2
Ankit Sharma,436,12,375,21,0,0,0,0,49.904761904761905,6.976,31.25
Ankit Soni,141,4,112,6,0,0,0,0,53.666666666666664,7.553571428571429,28.0
Anureet Singh,601,21,430,22,0,2,0,1,62.13636363636363,8.386046511627907,20.476190476190474
Arjun Tendulkar,83,4,68,4,0,0,0,0,61.5,7.323529411764706,17.0
Arshad Khan (2),176,5,97,6,0,1,0,0,52.166666666666664,10.88659793814433,19.4
Arshdeep Singh,1477,64,1127,51,1,4,2,4,76.43137254901961,7.863354037267081,17.609375
Avesh Khan,1401,59,1044,47,0,8,1,7,76.53191489361703,8.051724137931034,17.694915254237287
Azhar Mahmood,681,31,552,23,0,5,0,1,82.3913043478261,7.4021739130434785,17.806451612903224
B Akhil,235,7,193,13,0,0,0,0,43.76923076923077,7.305699481865285,27.571428571428573
B Chipli,20,0,6,1,0,0,0,0,6.0,20.0,7.0
B Geeves,90,2,49,2,0,0,0,0,74.0,11.020408163265307,24.5
B Kumar,4226,184,3703,160,2,10,3,26,77.6125,6.847421009991899,20.125
B Laughlin,271,10,179,9,0,0,0,0,67.33333333333333,9.083798882681565,17.9
B Lee,1042,30,916,38,0,1,0,8,71.73684210526316,6.82532751091703,30.533333333333335
B Stanlake,194,7,150,6,0,0,0,1,80.83333333333333,7.76,21.428571428571427
BA Bhatt,389,13,303,15,0,0,1,0,62.2,7.702970297029703,23.307692307692307
BA Stokes,956,31,723,38,0,3,0,4,59.3421052631579,7.933609958506224,23.322580645161292
BAW Mendis,295,9,248,10,0,0,0,0,73.1,7.137096774193548,27.555555555555557
BB Sran,718,20,516,24,0,1,0,1,63.833333333333336,8.348837209302326,25.8
BCJ Cutting,422,12,288,17,0,0,0,1,51.529411764705884,8.791666666666666,24.0
BE Hendricks,224,11,157,7,0,2,0,0,83.85714285714286,8.560509554140127,14.272727272727273
BJ Hodge,294,18,238,20,1,1,0,0,47.0,7.411764705882353,13.222222222222221
BJ Rohrer,11,0,7,1,0,0,0,0,14.0,9.428571428571429,8.0
BMAJ Mendis,36,1,30,2,0,0,0,0,41.5,7.2,30.0
BW Hilfenhaus,461,23,390,17,0,1,0,2,81.47058823529412,7.092307692307692,16.956521739130434
Basil Thampi,828,26,539,25,0,1,1,1,68.56,9.217068645640074,20.73076923076923
