match_id,bowler,venue,batting_team,Runs_Conceded,Wickets_Taken,Good_wickets,balls_bowled,5ws,3ws,4ws,Economy,strike_rate,maidens,dream 11 score
335982,AA Noffke,M Chinnaswamy Stadium,Kolkata Knight Riders,35,1,25,25,0,0,0,8.4,25.0,0,75
335982,AB Agarkar,M Chinnaswamy Stadium,Royal Challengers Bangalore,21,3,28,28,0,1,0,4.5,9.333333333333334,0,137
335982,AB Dinda,M Chinnaswamy Stadium,Royal Challengers Bangalore,7,2,19,20,0,0,0,2.1,10.0,0,94
335982,CL White,M Chinnaswamy Stadium,Kolkata Knight Riders,22,0,7,7,0,0,0,18.857142857142858,27.0,0,8
335982,I Sharma,M Chinnaswamy Stadium,Royal Challengers Bangalore,6,1,18,19,0,0,0,1.894736842105263,19.0,1,79
335982,JH Kallis,M Chinnaswamy Stadium,Kolkata Knight Riders,47,1,25,25,0,0,0,11.28,25.0,0,75
335982,LR Shukla,M Chinnaswamy Stadium,Royal Challengers Bangalore,9,1,9,9,0,0,0,6.0,9.0,0,43
335982,P Kumar,M Chinnaswamy Stadium,Kolkata Knight Riders,37,0,25,25,0,0,0,8.88,45.0,1,62
335982,SB Joshi,M Chinnaswamy Stadium,Kolkata Knight Riders,26,0,18,18,0,0,0,8.666666666666666,38.0,0,36
335982,SC Ganguly,M Chinnaswamy Stadium,Royal Challengers Bangalore,20,3,24,25,0,1,0,4.8,8.333333333333334,0,129
335982,Z Khan,M Chinnaswamy Stadium,Kolkata Knight Riders,38,1,24,24,0,0,0,9.5,24.0,1,85
335983,B Lee,Punjab Cricket Association Stadium,Chennai Super Kings,34,1,25,25,0,0,0,8.16,25.0,0,75
335983,IK Pathan,Punjab Cricket Association Stadium,Chennai Super Kings,47,2,22,24,0,0,0,11.75,12.0,0,94
335983,JDP Oram,Punjab Cricket Association Stadium,Kings XI Punjab,37,0,24,24,0,0,0,9.25,44.0,0,48
335983,JR Hopes,Punjab Cricket Association Stadium,Chennai Super Kings,53,1,23,24,0,0,0,13.25,24.0,0,65
335983,Joginder Sharma,Punjab Cricket Association Stadium,Kings XI Punjab,46,1,25,25,0,0,0,11.04,25.0,0,75
335983,K Goel,Punjab Cricket Association Stadium,Chennai Super Kings,25,0,12,12,0,0,0,12.5,32.0,0,18
335983,M Muralitharan,Punjab Cricket Association Stadium,Kings XI Punjab,31,1,25,25,0,0,0,7.44,25.0,0,75
335983,MS Gony,Punjab Cricket Association Stadium,Kings XI Punjab,40,1,26,26,0,0,0,9.23076923076923,26.0,0,77
335983,P Amarnath,Punjab Cricket Association Stadium,Kings XI Punjab,42,1,24,24,0,0,0,10.5,24.0,0,73
335983,PP Chawla,Punjab Cricket Association Stadium,Chennai Super Kings,19,0,6,6,0,0,0,19.0,26.0,0,6
335983,S Sreesanth,Punjab Cricket Association Stadium,Chennai Super Kings,34,0,19,19,0,0,0,10.736842105263158,39.0,0,38
335983,WA Mota,Punjab Cricket Association Stadium,Chennai Super Kings,22,1,14,14,0,0,0,9.428571428571429,14.0,0,53
335984,B Geeves,Arun Jaitley Stadium,Rajasthan Royals,41,1,24,24,0,0,0,10.25,24.0,0,73
335984,D Salunkhe,Arun Jaitley Stadium,Delhi Daredevils,6,0,7,7,0,0,0,5.142857142857143,27.0,0,14
335984,DL Vettori,Arun Jaitley Stadium,Rajasthan Royals,35,1,23,24,0,0,0,8.75,24.0,0,71
335984,GD McGrath,Arun Jaitley Stadium,Rajasthan Royals,20,1,25,25,0,0,0,4.8,25.0,2,105
335984,MF Maharoof,Arun Jaitley Stadium,Rajasthan Royals,11,2,22,24,0,0,0,2.75,12.0,0,100
335984,MM Patel,Arun Jaitley Stadium,Delhi Daredevils,25,0,18,18,0,0,0,8.333333333333334,38.0,0,36
335984,R Bhatia,Arun Jaitley Stadium,Rajasthan Royals,15,3,24,25,0,1,0,3.6,8.333333333333334,0,129
335984,SK Trivedi,Arun Jaitley Stadium,Delhi Daredevils,29,0,21,21,0,0,0,8.285714285714286,41.0,0,42
335984,SK Warne,Arun Jaitley Stadium,Delhi Daredevils,16,0,12,12,0,0,0,8.0,32.0,0,24
335984,SR Watson,Arun Jaitley Stadium,Delhi Daredevils,30,1,24,25,0,0,0,7.2,25.0,0,73
335984,YK Pathan,Arun Jaitley Stadium,Delhi Daredevils,16,0,14,14,0,0,0,6.857142857142857,34.0,0,28
335985,A Nehra,Wankhede Stadium,Royal Challengers Bangalore,43,1,26,26,0,0,0,9.923076923076923,26.0,1,89
335985,AM Nayar,Wankhede Stadium,Royal Challengers Bangalore,10,0,6,6,0,0,0,10.0,26.0,0,12
335985,B Akhil,Wankhede Stadium,Mumbai Indians,17,2,17,18,0,0,0,5.666666666666667,9.0,0,84
335985,DS Kulkarni,Wankhede Stadium,Royal Challengers Bangalore,17,1,18,18,0,0,0,5.666666666666667,18.0,0,61
335985,Harbhajan Singh,Wankhede Stadium,Royal Challengers Bangalore,35,2,25,25,0,0,0,8.4,12.5,0,100
335985,JH Kallis,Wankhede Stadium,Mumbai Indians,41,0,20,20,0,0,0,12.3,40.0,0,34
335985,P Kumar,Wankhede Stadium,Mumbai Indians,28,1,25,25,0,0,0,6.72,25.0,0,75
335985,R Vinay Kumar,Wankhede Stadium,Mumbai Indians,41,0,24,24,0,0,0,10.25,44.0,0,48
335985,SB Joshi,Wankhede Stadium,Mumbai Indians,10,0,12,12,0,0,0,5.0,32.0,0,24
335985,SM Pollock,Wankhede Stadium,Royal Challengers Bangalore,17,0,24,24,0,0,0,4.25,44.0,0,54
335985,ST Jayasuriya,Wankhede Stadium,Royal Challengers Bangalore,39,1,24,24,0,0,0,9.75,24.0,0,73
335985,Z Khan,Wankhede Stadium,Mumbai Indians,17,4,22,24,0,0,1,4.25,6.0,1,170
335986,A Symonds,Eden Gardens,Kolkata Knight Riders,13,0,15,15,0,0,0,5.2,35.0,0,30
335986,AB Agarkar,Eden Gardens,Deccan Chargers,19,2,12,12,0,0,0,9.5,6.0,0,74
335986,AB Dinda,Eden Gardens,Deccan Chargers,17,1,19,19,0,0,0,5.368421052631579,19.0,0,63
335986,DJ Hussey,Eden Gardens,Deccan Chargers,34,1,19,19,0,0,0,10.736842105263158,19.0,0,63
335986,I Sharma,Eden Gardens,Deccan Chargers,6,1,21,21,0,0,0,1.7142857142857142,21.0,1,85
335986,M Kartik,Eden Gardens,Deccan Chargers,17,4,22,22,0,0,1,4.636363636363637,5.5,1,170
335986,Mohammad Hafeez,Eden Gardens,Deccan Chargers,7,1,24,25,0,0,0,1.68,25.0,1,91
335986,PP Ojha,Eden Gardens,Kolkata Knight Riders,16,2,25,26,0,0,0,3.6923076923076925,13.0,0,106
335986,RP Singh,Eden Gardens,Kolkata Knight Riders,15,1,18,18,0,0,0,5.0,18.0,0,61
335986,SB Bangar,Eden Gardens,Kolkata Knight Riders,13,0,20,20,0,0,0,3.9,40.0,1,58
335986,SB Styris,Eden Gardens,Kolkata Knight Riders,18,0,25,25,0,0,0,4.32,45.0,1,68
335986,WPUJC Vaas,Eden Gardens,Kolkata Knight Riders,9,2,17,18,0,0,0,3.0,9.0,1,102
335987,B Lee,Sawai Mansingh Stadium,Rajasthan Royals,33,1,26,26,0,0,0,7.615384615384615,26.0,0,77
335987,D Salunkhe,Sawai Mansingh Stadium,Kings XI Punjab,19,1,12,13,0,0,0,8.76923076923077,13.0,0,49
335987,IK Pathan,Sawai Mansingh Stadium,Rajasthan Royals,19,1,25,26,0,0,0,4.384615384615385,26.0,1,93
335987,JR Hopes,Sawai Mansingh Stadium,Rajasthan Royals,32,1,25,25,0,0,0,7.68,25.0,0,75
335987,MM Patel,Sawai Mansingh Stadium,Kings XI Punjab,36,2,23,24,0,0,0,9.0,12.0,0,96
335987,PP Chawla,Sawai Mansingh Stadium,Rajasthan Royals,27,0,12,12,0,0,0,13.5,32.0,0,18
335987,Pankaj Singh,Sawai Mansingh Stadium,Kings XI Punjab,12,0,6,6,0,0,0,12.0,26.0,0,6
335987,S Sreesanth,Sawai Mansingh Stadium,Rajasthan Royals,33,1,24,24,0,0,0,8.25,24.0,0,73
335987,SK Trivedi,Sawai Mansingh Stadium,Kings XI Punjab,25,2,23,24,0,0,0,6.25,12.0,0,96
335987,SK Warne,Sawai Mansingh Stadium,Kings XI Punjab,19,3,22,24,0,1,0,4.75,8.0,0,125
335987,SR Watson,Sawai Mansingh Stadium,Kings XI Punjab,38,0,25,25,0,0,0,9.12,45.0,0,50
335987,WA Mota,Sawai Mansingh Stadium,Rajasthan Royals,12,0,6,6,0,0,0,12.0,26.0,0,6
335987,YK Pathan,Sawai Mansingh Stadium,Kings XI Punjab,13,0,6,6,0,0,0,13.0,26.0,0,6
335988,A Symonds,Rajiv Gandhi International Stadium,Delhi Daredevils,35,0,12,12,0,0,0,17.5,32.0,0,18
335988,GD McGrath,Rajiv Gandhi International Stadium,Deccan Chargers,22,0,24,24,0,0,0,5.5,44.0,1,60
335988,MF Maharoof,Rajiv Gandhi International Stadium,Deccan Chargers,35,2,25,25,0,0,0,8.4,12.5,0,100
335988,Mohammad Asif,Rajiv Gandhi International Stadium,Deccan Chargers,19,2,22,24,0,0,0,4.75,12.0,1,112
335988,PP Ojha,Rajiv Gandhi International Stadium,Delhi Daredevils,3,0,8,8,0,0,0,2.25,28.0,0,22
335988,R Bhatia,Rajiv Gandhi International Stadium,Deccan Chargers,27,3,23,24,0,1,0,6.75,8.0,0,121
335988,RP Singh,Rajiv Gandhi International Stadium,Delhi Daredevils,26,1,19,19,0,0,0,8.210526315789474,19.0,0,63
335988,SB Bangar,Rajiv Gandhi International Stadium,Delhi Daredevils,29,0,13,13,0,0,0,13.384615384615385,33.0,0,20
335988,Shahid Afridi,Rajiv Gandhi International Stadium,Delhi Daredevils,17,0,12,12,0,0,0,8.5,32.0,0,24
335988,VY Mahesh,Rajiv Gandhi International Stadium,Deccan Chargers,34,1,25,25,0,0,0,8.16,25.0,0,75
335988,WPUJC Vaas,Rajiv Gandhi International Stadium,Delhi Daredevils,21,0,19,19,0,0,0,6.631578947368421,39.0,0,38
335989,A Nehra,MA Chidambaram Stadium,Chennai Super Kings,32,2,27,27,0,0,0,7.111111111111111,13.5,0,104
335989,AM Nayar,MA Chidambaram Stadium,Chennai Super Kings,14,0,6,6,0,0,0,14.0,26.0,0,6
335989,DJ Bravo,MA Chidambaram Stadium,Chennai Super Kings,35,0,19,19,0,0,0,11.052631578947368,39.0,0,38
