bowler,batting_team,Runs_Conceded,Wickets_Taken,balls_bowled,bowlerOppositionWiseMatches_Played,five_wickets_haul,three_wickets_haul,four_wickets_haul,maidens,bowlerOppositionWiseavg_drm11_score,bowlerOppositionWiseEconomy,bowlerOppositionWisestrike_rate
A Ashish Reddy,Chennai Super Kings,48,3,30,3,0,0,0,0,42.333333333333336,9.6,10.0
A Ashish Reddy,Delhi Daredevils,43,1,25,2,0,0,0,0,34.5,10.32,25.0
A Ashish Reddy,Kings XI Punjab,36,2,25,1,0,0,0,0,96.0,8.64,12.5
A Ashish Reddy,Kolkata Knight Riders,29,2,24,2,0,0,0,0,47.0,7.25,12.0
A Ashish Reddy,Mumbai Indians,10,1,14,1,0,0,0,0,59.0,4.285714285714286,14.0
A Ashish Reddy,Pune Warriors,84,4,55,3,0,0,0,0,68.66666666666667,9.163636363636364,13.75
A Ashish Reddy,Rajasthan Royals,22,0,18,2,0,0,0,0,18.0,7.333333333333333,20.0
A Ashish Reddy,Royal Challengers Bangalore,114,6,79,6,0,1,0,0,48.666666666666664,8.658227848101266,13.166666666666666
A Badoni,Mumbai Indians,6,1,6,1,0,0,0,0,37.0,6.0,6.0
A Badoni,Punjab Kings,0,0,1,1,0,0,0,0,8.0,0.0,2.0
A Badoni,Rajasthan Royals,5,1,6,1,0,0,0,0,37.0,5.0,6.0
A Chandila,Chennai Super Kings,16,1,18,1,0,0,0,0,61.0,5.333333333333333,18.0
A Chandila,Deccan Chargers,20,1,24,1,0,0,0,0,73.0,5.0,24.0
A Chandila,Kings XI Punjab,38,1,42,2,0,0,0,0,57.5,5.428571428571429,42.0
A Chandila,Mumbai Indians,30,2,24,2,0,0,0,0,49.0,7.5,12.0
A Chandila,Pune Warriors,36,4,36,2,0,0,1,1,97.0,6.0,9.0
A Chandila,Royal Challengers Bangalore,89,0,72,3,0,0,0,0,48.0,7.416666666666667,75.0
A Chandila,Sunrisers Hyderabad,13,2,18,1,0,0,0,0,92.0,4.333333333333333,9.0
A Choudhary,Gujarat Lions,19,0,14,1,0,0,0,0,28.0,8.142857142857142,15.0
A Choudhary,Kings XI Punjab,17,2,24,1,0,0,0,1,116.0,4.25,12.0
A Choudhary,Kolkata Knight Riders,19,1,17,1,0,0,0,1,71.0,6.705882352941177,17.0
A Choudhary,Mumbai Indians,31,1,25,1,0,0,0,0,75.0,7.44,25.0
A Choudhary,Sunrisers Hyderabad,51,1,28,1,0,0,0,0,81.0,10.928571428571429,28.0
A Dananjaya,Delhi Daredevils,46,0,25,1,0,0,0,0,50.0,11.04,26.0
A Flintoff,Delhi Daredevils,50,0,24,1,0,0,0,0,42.0,12.5,25.0
A Flintoff,Mumbai Indians,44,1,24,1,0,0,0,0,73.0,11.0,24.0
A Flintoff,Royal Challengers Bangalore,11,1,18,1,0,0,0,0,67.0,3.6666666666666665,18.0
A Kumble,Chennai Super Kings,108,7,145,6,0,1,0,0,80.83333333333333,4.468965517241379,20.714285714285715
A Kumble,Deccan Chargers,231,13,193,8,0,0,2,0,90.625,7.181347150259067,14.846153846153847
A Kumble,Delhi Daredevils,125,5,122,5,0,0,0,0,74.2,6.147540983606557,24.4
A Kumble,Kings XI Punjab,184,4,145,6,0,0,0,0,65.33333333333333,7.613793103448276,36.25
A Kumble,Kolkata Knight Riders,96,5,115,5,0,0,0,0,74.2,5.008695652173913,23.0
A Kumble,Mumbai Indians,177,3,135,6,0,0,0,0,57.833333333333336,7.866666666666666,45.0
A Kumble,Rajasthan Royals,106,12,128,6,2,0,0,1,100.66666666666667,4.96875,10.666666666666666
A Mishra,Chennai Super Kings,395,14,345,16,0,1,0,0,64.875,6.869565217391305,24.642857142857142
A Mishra,Deccan Chargers,146,11,133,6,1,1,0,0,93.5,6.586466165413534,12.090909090909092
