bowler,venue,Runs_Conceded,Wickets_Taken,balls_bowled,bowlerVenueMatches_Played,five_wickets_haul,three_wickets_haul,four_wickets_haul,maidens,bowlerVenueavg_drm11_score,bowlerVenueEconomy,bowlerVenuestrike_rate
A Ashish Reddy,Barabati Stadium,31,1,19,1,0,0,0,0,63.0,9.789473684210526,19.0
A Ashish Reddy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,19,1,19,2,0,0,0,0,31.5,6.0,19.0
A Ashish Reddy,Eden Gardens,15,1,12,1,0,0,0,0,47.0,7.5,12.0
A Ashish Reddy,M Chinnaswamy Stadium,83,2,48,4,0,0,0,0,32.5,10.375,24.0
A Ashish Reddy,MA Chidambaram Stadium,29,1,18,2,0,0,0,0,27.5,9.666666666666666,18.0
A Ashish Reddy,Rajiv Gandhi International Stadium,167,10,116,8,0,1,0,0,58.25,8.637931034482758,11.6
A Ashish Reddy,Subrata Roy Sahara Stadium,32,2,24,1,0,0,0,0,96.0,8.0,12.0
A Ashish Reddy,Wankhede Stadium,10,1,14,1,0,0,0,0,59.0,4.285714285714286,14.0
A Badoni,Brabourne Stadium,5,1,6,1,0,0,0,0,37.0,5.0,6.0
A Badoni,Punjab Cricket Association Stadium,0,0,1,1,0,0,0,0,8.0,0.0,2.0
A Badoni,Wankhede Stadium,6,1,6,1,0,0,0,0,37.0,6.0,6.0
A Chandila,M Chinnaswamy Stadium,21,0,24,1,0,0,0,0,48.0,5.25,25.0
A Chandila,MA Chidambaram Stadium,16,1,18,1,0,0,0,0,61.0,5.333333333333333,18.0
A Chandila,Punjab Cricket Association Stadium,24,1,24,1,0,0,0,0,73.0,6.0,24.0
A Chandila,Rajiv Gandhi International Stadium,20,1,24,1,0,0,0,0,73.0,5.0,24.0
A Chandila,Sawai Mansingh Stadium,161,8,144,8,0,0,1,1,65.25,6.708333333333333,18.0
A Choudhary,M Chinnaswamy Stadium,55,3,55,3,0,0,0,2,71.66666666666667,6.0,18.333333333333332
A Choudhary,Rajiv Gandhi International Stadium,51,1,28,1,0,0,0,0,81.0,10.928571428571429,28.0
A Choudhary,Wankhede Stadium,31,1,25,1,0,0,0,0,75.0,7.44,25.0
A Dananjaya,Wankhede Stadium,46,0,25,1,0,0,0,0,50.0,11.04,26.0
A Flintoff,Kingsmead,50,0,24,1,0,0,0,0,42.0,12.5,25.0
A Flintoff,Newlands,44,1,24,1,0,0,0,0,73.0,11.0,24.0
A Flintoff,St George's Park,11,1,18,1,0,0,0,0,67.0,3.6666666666666665,18.0
A Kumble,Arun Jaitley Stadium,33,1,24,1,0,0,0,0,73.0,8.25,24.0
A Kumble,Brabourne Stadium,18,1,24,1,0,0,0,0,77.0,4.5,24.0
A Kumble,Dr DY Patil Sports Academy,44,5,47,2,0,0,1,0,114.5,5.617021276595745,9.4
A Kumble,Eden Gardens,40,1,42,2,0,0,0,0,57.5,5.714285714285714,42.0
A Kumble,Kingsmead,72,7,96,4,0,0,0,0,95.25,4.5,13.714285714285714
A Kumble,M Chinnaswamy Stadium,342,11,291,12,1,0,0,0,73.75,7.051546391752577,26.454545454545453
A Kumble,MA Chidambaram Stadium,30,4,48,2,0,1,0,0,102.0,3.75,12.0
A Kumble,New Wanderers Stadium,86,6,86,4,0,0,1,0,82.5,6.0,14.333333333333334
A Kumble,Newlands,44,5,43,2,1,0,0,1,121.5,6.1395348837209305,8.6
A Kumble,Punjab Cricket Association Stadium,67,1,50,2,0,0,0,0,61.5,8.04,50.0
A Kumble,Rajiv Gandhi International Stadium,28,1,25,1,0,0,0,0,73.0,6.72,25.0
A Kumble,Sawai Mansingh Stadium,59,1,49,2,0,0,0,0,61.5,7.224489795918367,49.0
A Kumble,St George's Park,75,0,73,3,0,0,0,0,48.666666666666664,6.164383561643835,76.0
A Kumble,SuperSport Park,63,4,60,3,0,0,0,0,73.33333333333333,6.3,15.0
A Kumble,Vidarbha Cricket Association Stadium,26,1,25,1,0,0,0,0,73.0,6.24,25.0
A Mishra,Arun Jaitley Stadium,1096,60,963,45,1,4,2,4,77.91111111111111,6.8286604361370715,16.05
A Mishra,Barabati Stadium,57,2,62,3,0,0,0,0,58.666666666666664,5.516129032258065,31.0
A Mishra,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,53,5,54,3,0,0,0,0,79.66666666666667,5.888888888888889,10.8
A Mishra,Brabourne Stadium,70,0,43,2,0,0,0,0,43.0,9.767441860465116,45.0
A Mishra,Buffalo Park,18,0,26,1,0,0,0,0,58.0,4.153846153846154,27.0
A Mishra,Dr DY Patil Sports Academy,25,2,25,1,0,0,0,1,110.0,6.0,12.5
A Mishra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,134,4,120,6,0,0,0,0,57.666666666666664,6.7,30.0
A Mishra,Dubai International Cricket Stadium,113,0,74,3,0,0,0,0,47.333333333333336,9.162162162162161,77.0
A Mishra,Eden Gardens,161,4,141,7,0,0,0,1,57.142857142857146,6.851063829787234,35.25
A Mishra,Green Park,27,1,12,1,0,0,0,0,43.0,13.5,12.0
A Mishra,Himachal Pradesh Cricket Association Stadium,9,4,24,1,0,0,1,1,170.0,2.25,6.0
A Mishra,Kingsmead,57,0,42,2,0,0,0,1,48.0,8.142857142857142,44.0
A Mishra,M Chinnaswamy Stadium,167,5,116,6,0,0,0,0,58.166666666666664,8.637931034482758,23.2
A Mishra,MA Chidambaram Stadium,182,12,169,8,0,1,1,0,80.0,6.461538461538462,14.083333333333334
A Mishra,Maharashtra Cricket Association Stadium,93,9,91,4,0,1,1,0,104.75,6.131868131868132,10.11111111111111
A Mishra,Narendra Modi Stadium,73,3,67,3,0,0,0,0,71.0,6.537313432835821,22.333333333333332
A Mishra,Nehru Stadium,12,1,24,1,0,0,0,0,79.0,3.0,24.0
A Mishra,New Wanderers Stadium,37,3,43,2,0,1,0,0,82.5,5.162790697674419,14.333333333333334
A Mishra,OUTsurance Oval,31,3,26,1,0,1,0,0,121.0,7.153846153846154,8.666666666666666
A Mishra,Punjab Cricket Association Stadium,188,2,121,7,0,0,0,0,41.142857142857146,9.322314049586776,60.5
A Mishra,Rajiv Gandhi International Stadium,712,34,611,27,0,3,0,1,77.77777777777777,6.991816693944354,17.970588235294116
A Mishra,Saurashtra Cricket Association Stadium,19,1,18,1,0,0,0,0,59.0,6.333333333333333,18.0
A Mishra,Sawai Mansingh Stadium,118,5,87,5,0,1,0,0,59.4,8.137931034482758,17.4
A Mishra,Shaheed Veer Narayan Singh International Stadium,88,1,60,3,0,0,0,0,48.333333333333336,8.8,60.0
A Mishra,Sharjah Cricket Stadium,95,3,59,3,0,0,0,0,62.333333333333336,9.661016949152541,19.666666666666668
A Mishra,Sheikh Zayed Stadium,61,4,48,2,0,0,0,0,98.0,7.625,12.0
A Mishra,St George's Park,17,1,26,1,0,0,0,0,81.0,3.923076923076923,26.0
A Mishra,Subrata Roy Sahara Stadium,24,0,19,1,0,0,0,0,38.0,7.578947368421052,20.0
A Mishra,SuperSport Park,125,7,99,4,0,2,0,0,93.75,7.575757575757576,14.142857142857142
A Mishra,Wankhede Stadium,183,6,162,7,0,0,0,1,70.28571428571429,6.777777777777778,27.0
A Mithun,Arun Jaitley Stadium,69,3,49,2,0,0,0,0,84.5,8.448979591836734,16.333333333333332
A Mithun,Himachal Pradesh Cricket Association Stadium,27,0,20,1,0,0,0,0,40.0,8.1,21.0
