iter	MultiClass
0	5.137953909
1	5.108217838
2	5.073483367
3	5.047290778
4	5.014413833
5	4.982823075
6	4.958646987
7	4.932664763
8	4.907121466
9	4.880768455
10	4.854532397
11	4.832499924
12	4.811214598
13	4.790605581
14	4.771737818
15	4.75197177
16	4.728957402
17	4.708252729
18	4.6914696
19	4.675493112
20	4.657374726
21	4.639428797
22	4.621885272
23	4.605882862
24	4.591493493
25	4.576484359
26	4.564404538
27	4.552773707
28	4.54003027
29	4.527969715
30	4.514238354
31	4.502192345
32	4.491397572
33	4.480163186
34	4.469292996
35	4.458660908
36	4.447307493
37	4.436899557
38	4.426880793
39	4.416037991
40	4.406452346
41	4.396103602
42	4.385789951
43	4.377821673
44	4.368073401
45	4.359567363
46	4.35175181
47	4.343330577
48	4.334998007
49	4.327151456
50	4.318078879
51	4.310264114
52	4.303092981
53	4.29573811
54	4.288315426
55	4.281387061
56	4.27458643
57	4.26770548
58	4.260378933
59	4.252977838
60	4.246584453
61	4.23963696
62	4.232136662
63	4.22643914
64	4.21928471
65	4.21279545
66	4.207096588
67	4.201651377
68	4.195106163
69	4.189501395
70	4.184068773
71	4.178466107
72	4.172415407
73	4.167536486
74	4.16223044
75	4.156536676
76	4.151527642
77	4.145951667
78	4.139956031
79	4.135057747
80	4.129321055
81	4.124256356
82	4.119286444
83	4.114818221
84	4.109994658
85	4.105648656
86	4.101384982
87	4.096810154
88	4.091373628
89	4.087309324
90	4.082701578
91	4.077625705
92	4.073257836
93	4.069480402
94	4.06491988
95	4.06083833
96	4.056725255
97	4.0526589
98	4.048274742
99	4.043950024
100	4.039690937
101	4.035942516
102	4.031926603
103	4.027510556
104	4.023897893
105	4.020235569
106	4.016369081
107	4.012987585
108	4.009212424
109	4.006025835
110	4.002786301
111	3.998847358
112	3.995724023
113	3.991928637
114	3.988186761
115	3.984586496
116	3.980851537
117	3.977207042
118	3.973489529
119	3.970559766
120	3.967152257
121	3.963723571
122	3.960129057
123	3.956311252
124	3.953538309
125	3.951051091
126	3.947354621
127	3.944077802
128	3.9410638
129	3.938687631
130	3.936129165
131	3.93331145
132	3.930402234
133	3.927932072
134	3.925104645
135	3.922473843
136	3.919225126
137	3.916410669
138	3.913964108
139	3.911501744
140	3.908412242
141	3.905751107
142	3.9034624
143	3.900699251
144	3.898284242
145	3.895994092
146	3.893221056
147	3.890230877
148	3.888088926
149	3.885456464
150	3.883169586
151	3.880250912
152	3.877607068
153	3.8751035
154	3.872372669
155	3.869778754
156	3.866863255
157	3.864526815
158	3.861894783
159	3.859803928
160	3.857525639
161	3.855440724
162	3.853565661
163	3.850941647
164	3.848460329
165	3.846192375
166	3.84348413
167	3.840999157
168	3.838787461
169	3.836437142
170	3.834343688
171	3.832341038
172	3.829580957
173	3.826651252
174	3.824167159
175	3.822102553
176	3.820278767
177	3.818075378
178	3.816265902
179	3.813815928
180	3.811478047
181	3.809336809
182	3.806567641
183	3.804416854
184	3.802454996
185	3.800560624
186	3.798286895
187	3.796524844
188	3.794446655
189	3.792642409
190	3.790884364
191	3.788828775
