iter	Passed	Remaining
0	769	229968
1	1500	223500
2	2235	221324
3	2985	220958
4	3706	218663
5	4397	215494
6	5131	214775
7	5852	213630
8	6601	213444
9	7312	212068
10	8051	211546
11	8751	210025
12	9503	209805
13	10246	209330
14	10976	208546
15	11714	207923
16	12446	207201
17	13163	206231
18	13887	205383
19	14601	204418
20	15310	203411
21	16042	202717
22	16770	201977
23	17535	201661
24	18276	201045
25	19017	200416
26	19738	199573
27	20487	199026
28	21196	198077
29	21915	197239
30	22668	196705
31	23397	195952
32	24124	195188
33	24861	194508
34	25612	193925
35	26332	193107
36	27108	192689
37	27867	192138
38	28576	191242
39	29302	190463
40	30055	189862
41	30758	188947
42	31486	188184
43	32226	187502
44	32941	186668
45	33667	185901
46	34397	185159
47	35121	184388
48	35836	183571
49	36578	182891
50	37324	182232
51	38073	181581
52	38805	180846
53	39538	180118
54	40282	179441
55	41046	178845
56	41775	178095
57	42483	177258
58	43201	176467
59	43950	175802
60	44690	175100
61	45411	174321
62	46151	173619
63	46878	172865
64	47599	172091
65	48327	171344
66	49057	170603
67	49797	169896
68	50507	169090
69	51238	168354
70	51993	167696
71	52732	166985
72	53489	166330
73	54322	165902
74	55093	165281
75	55828	164547
76	56626	163996
77	57361	163258
78	58121	162593
79	58845	161824
80	59625	161210
81	60479	160786
82	61391	160506
83	62157	159833
84	62949	159224
85	63822	158814
86	64632	158238
87	65349	157432
88	66158	156846
89	66877	156048
90	67607	155273
91	68327	154478
92	69047	153685
93	69812	152994
94	70539	152216
95	71298	151509
96	72121	150934
97	73021	150513
98	73901	150042
99	74658	149317
100	75414	148588
101	76201	147919
102	76965	147206
103	77714	146461
104	78459	145710
105	79200	144951
106	79979	144262
107	80715	143494
108	81441	142708
109	82189	141963
110	82929	141204
111	83660	140429
112	84384	139645
113	85115	138871
114	85847	138102
115	86608	137378
116	87322	136581
117	88057	135818
118	88770	135020
119	89519	134279
120	90283	133560
121	91020	132800
122	91729	132001
123	92482	131266
124	93221	130510
125	94006	129818
126	94747	129066
127	95478	128299
128	96215	127541
129	96940	126768
130	97678	126013
131	98516	125385
132	99293	124676
133	100095	123999
134	100844	123254
135	101636	122561
136	102516	121972
137	103308	121275
138	104126	120607
139	104988	119986
140	105798	119304
141	106614	118627
142	107495	118019
143	108257	117278
144	109107	116632
145	109884	115905
146	110601	115115
147	111383	114394
148	112126	113631
149	112824	112824
150	113584	112080
151	114332	111323
152	115044	110533
153	115771	109757
154	116501	108985
155	117273	108252
156	118037	107511
157	118761	106734
158	119495	105967
159	120250	105219
160	121012	104476
161	121754	103717
162	122506	102965
163	123287	102238
164	124007	101460
165	124788	100732
166	125516	99962
167	126303	99238
168	127052	98484
169	127782	97715
170	128520	96954
171	129291	96216
172	129995	95429
173	130709	94651
174	131425	93875
175	132168	93118
176	132977	92408
177	133757	91676
178	134520	90932
179	135308	90205
180	136190	89539
181	137131	88909
182	138072	88275
183	139105	87696
184	139936	86987
185	140777	86283
186	141658	85601
187	142427	84850
188	143186	84093
189	144034	83388
190	144819	82645
191	145582	81890
