bowler,venue,batting_team,dream 11 score,Matches_Played,avg_drm11_score,Economy,strike_rate,bowlerOppositionWiseMatches_Played,bowlerOppositionWiseavg_drm11_score,bowlerOppositionWiseEconomy,bowlerOppositionWisestrike_rate,bowlerVenueMatches_Played,bowlerVenueavg_drm11_score,bowlerVenueEconomy,bowlerVenuestrike_rate,Venue_Matches_Played,Venue_Avg_Batsmen_Strike_Rate,Venue_Avg_Batsmen_Average,Venue_Avg_Bowler_Economy,Venue_Avg_Bowler_Average,Venue_dream11
AA Noffke,M Chinnaswamy Stadium,Kolkata Knight Riders,75,1,75.0,8.4,25.0,1,75.0,8.4,25.0,1,75.0,8.4,25.0,87,132.02523471263223,1.3202523471263226,7.921514082757936,1.3202523471263226,325.1609195402299
AB Agarkar,M Chinnaswamy Stadium,Royal Challengers Bangalore,137,42,59.595238095238095,8.136585365853659,24.848484848484848,4,69.5,7.953488372093023,21.5,2,86.5,6.521739130434782,15.333333333333334,87,132.02523471263223,1.3202523471263226,7.921514082757936,1.3202523471263226,325.1609195402299
AB Dinda,M Chinnaswamy Stadium,Royal Challengers Bangalore,94,75,71.46666666666667,7.502831969792322,19.37804878048781,8,80.625,7.340782122905028,16.272727272727273,8,72.375,7.840909090909091,19.55555555555556,87,132.02523471263223,1.3202523471263226,7.921514082757936,1.3202523471263226,325.1609195402299
CL White,M Chinnaswamy Stadium,Kolkata Knight Riders,8,6,18.5,10.565217391304348,46.0,2,15.0,11.2,17.0,2,19.5,16.615384615384617,13.0,87,132.02523471263223,1.3202523471263226,7.921514082757936,1.3202523471263226,325.1609195402299
I Sharma,M Chinnaswamy Stadium,Royal Challengers Bangalore,79,101,68.01980198019803,7.420560747663552,26.75,15,70.2,7.230337078651686,32.36363636363637,5,57.6,7.72972972972973,55.5,87,132.02523471263223,1.3202523471263226,7.921514082757936,1.3202523471263226,325.1609195402299
JH Kallis,M Chinnaswamy Stadium,Kolkata Knight Riders,75,89,62.29213483146067,7.410783768760423,24.31081081081081,4,72.0,9.51063829787234,23.5,16,67.25,7.535294117647059,24.285714285714285,87,132.02523471263223,1.3202523471263226,7.921514082757936,1.3202523471263226,325.1609195402299
LR Shukla,M Chinnaswamy Stadium,Royal Challengers Bangalore,43,27,39.14814814814815,7.895705521472393,19.176470588235293,3,28.666666666666668,8.285714285714286,10.5,1,43.0,6.0,9.0,87,132.02523471263223,1.3202523471263226,7.921514082757936,1.3202523471263226,325.1609195402299
P Kumar,M Chinnaswamy Stadium,Kolkata Knight Riders,62,119,69.36134453781513,7.06712172923777,25.852941176470587,16,57.25,7.023411371237458,29.9,18,76.05555555555556,7.854014598540146,21.63157894736842,87,132.02523471263223,1.3202523471263226,7.921514082757936,1.3202523471263226,325.1609195402299
SB Joshi,M Chinnaswamy Stadium,Kolkata Knight Riders,36,4,32.25,8.945454545454545,55.0,1,36.0,8.666666666666666,19.0,2,49.5,8.594594594594595,37.0,87,132.02523471263223,1.3202523471263226,7.921514082757936,1.3202523471263226,325.1609195402299
SC Ganguly,M Chinnaswamy Stadium,Royal Challengers Bangalore,129,20,42.0,7.692857142857143,23.33333333333333,4,60.5,5.552238805970149,16.75,1,129.0,4.8,8.333333333333334,87,132.02523471263223,1.3202523471263226,7.921514082757936,1.3202523471263226,325.1609195402299
Z Khan,M Chinnaswamy Stadium,Kolkata Knight Riders,85,99,78.35353535353535,7.09402460456942,19.126050420168067,15,81.66666666666667,7.371951219512195,15.61904761904762,25,82.56,7.350785340314136,16.852941176470587,87,132.02523471263223,1.3202523471263226,7.921514082757936,1.3202523471263226,325.1609195402299
B Lee,Punjab Cricket Association Stadium,Chennai Super Kings,75,38,71.73684210526316,6.82532751091703,30.53333333333333,5,61.2,6.540983606557377,61.0,7,73.14285714285714,7.674418604651163,28.666666666666668,61,130.76126001657917,1.3076126001657915,7.84567560099475,1.3076126001657915,323.4918032786885
IK Pathan,Punjab Cricket Association Stadium,Chennai Super Kings,94,101,68.76237623762377,7.2948414576431615,21.343434343434343,13,72.3076923076923,8.283737024221454,20.642857142857142,12,92.41666666666669,6.891304347826087,13.142857142857142,61,130.76126001657917,1.3076126001657915,7.84567560099475,1.3076126001657915,323.4918032786885
JDP Oram,Punjab Cricket Association Stadium,Kings XI Punjab,48,14,57.21428571428572,8.40983606557377,18.76923076923077,1,48.0,9.25,25.0,1,48.0,9.25,25.0,61,130.76126001657917,1.3076126001657915,7.84567560099475,1.3076126001657915,323.4918032786885
JR Hopes,Punjab Cricket Association Stadium,Chennai Super Kings,65,20,54.5,8.764227642276422,26.357142857142858,4,41.25,9.972972972972974,74.0,4,52.75,11.583333333333334,24.0,61,130.76126001657917,1.3076126001657915,7.84567560099475,1.3076126001657915,323.4918032786885
